confDC0,confDC1,confVDL0,confVDL1,perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps],n,cntMean,cntVar
0,0,0,65376,18757.799530597058,18232.806588025815,448.8232224378738,171.2256470602989,1,9.10455322265625,0.10555421933531761
0,0,0,65376,18769.618513002635,18241.941769192228,448.4933426769447,171.1826217876485,2,12.397689819335938,0.2697450292762369
0,0,0,65376,18779.299673333713,18250.069618490674,448.5166701798282,171.20256636659542,4,18.779693603515625,0.31242700573056936
0,0,0,65376,18773.920018333905,18241.941769192228,448.4761555432682,171.21661085371608,8,31.723434448242188,0.6168556117918342
0,0,0,65376,18784.682412290756,18241.941769192228,448.44055781363335,171.21446377655175,1,9.17877197265625,0.150993462651968
0,0,0,65376,18779.299673333713,18240.92629703852,448.5516659845126,171.22591547706074,2,12.588897705078125,0.2447217097505927
0,0,0,65376,18788.990825688074,18255.153203342616,448.53631627504603,171.27057384632272,4,18.822372436523438,0.33794002584181726
0,0,0,65376,18782.52894646337,18250.069618490674,448.51544235602006,171.26019026354876,8,31.291213989257812,0.6361874544527382
0,0,0,65376,18783.60561765549,18256.170260181625,448.5559640914305,171.19961463367994,1,9.131195068359375,0.12188697513192892
0,0,0,65376,18782.52894646337,18258.204713879757,448.49395652751144,171.2712004821184,2,12.374191284179688,0.26520854397676885
0,0,0,65376,18796.53530660242,18267.36536960642,448.9037695422738,171.2338788904914,4,18.684661865234375,0.3178897416219115
0,0,0,65376,18780.375974323702,18252.102712638556,448.6026345547789,171.2149110798536,8,31.042129516601562,0.7573346009012312
0,0,0,65376,18779.299673333713,18252.102712638556,448.54982396390574,171.17350070390714,1,9.032363891601562,0.06516046426258981
0,0,0,65376,18772.844457175594,18255.153203342616,448.3423864709182,171.26171191676917,2,12.462020874023438,0.2677531426306814
0,0,0,65376,18784.682412290756,18259.222110776776,449.31556438000405,171.20426589535577,4,18.697219848632812,0.3152608254458755
0,0,0,65376,18783.60561765549,18249.053241256406,448.44239893692,171.23182085874052,8,30.926559448242188,0.6642689609434456
0,0,0,65376,18778.22349570201,18250.069618490674,448.59526488860416,171.21759494874652,1,9.056289672851562,0.08485942683182657
0,0,0,65376,18779.299673333713,18254.13625981839,448.6769588881662,171.26368115519358,2,12.519439697265625,0.26100515481084585
0,0,0,65376,18788.990825688074,18261.25724476148,448.45712846747494,171.2423799806119,4,18.714431762695312,0.3086027593817562
0,0,0,65376,18783.60561765549,18252.102712638556,448.51421453893425,171.264755304331,8,32.007537841796875,0.6431316575035453
0,0,0,65376,18784.682412290756,18251.08610894508,448.4749279412691,171.1924593399624,1,9.11663818359375,0.11295193061232567
0,0,0,65376,18786.836371975693,18252.102712638556,448.39330748904945,171.21804226840916,2,12.42303466796875,0.27041300758719444
0,0,0,65376,18788.990825688074,18259.222110776776,448.42889771721116,171.22752599530443,4,18.499053955078125,0.3349600424990058
0,0,0,65376,18776.071510428603,18253.119429590017,448.36140381123613,171.1890607849683,8,30.914077758789062,0.682116269832477
0,0,0,65376,18784.682412290756,18255.153203342616,448.40189771652757,171.27513944069008,1,9.0413818359375,0.06841693818569183
0,0,0,65376,18779.299673333713,18257.18743035436,448.51237282590995,171.29465786286283,2,12.47039794921875,0.2638026736676693
0,0,0,65376,18787.913537067827,18263.29283246015,449.3106356138462,171.14685839906028,4,18.709884643554688,0.3159948231186718
0,0,0,65376,18779.299673333713,18263.29283246015,448.48904577002617,171.27334898251567,8,31.1888427734375,0.626783475279808
0,0,0,65376,18773.920018333905,18251.08610894508,448.69354701779275,171.22994182947656,1,9.142166137695312,0.12894345237873495
0,0,0,65376,18782.52894646337,18251.08610894508,448.5442979928573,171.2149110798536,2,12.34600830078125,0.26888909563422203
0,0,0,65376,18779.299673333713,18253.119429590017,448.5977214170913,171.20533929932668,4,18.9010009765625,0.3377028554677963
0,0,0,65376,18778.22349570201,18250.069618490674,448.63518681038835,171.25535695620363,8,31.028244018554688,0.635142827173695
0,0,0,65376,18774.995702744516,18246.00478868534,448.627201857597,171.25625199253682,1,9.259384155273438,0.19942823401652277
0,0,0,65376,18771.769019248397,18240.92629703852,448.7629847230496,171.31704685130163,2,12.449050903320312,0.26821717782877386
0,0,0,65376,18779.299673333713,18253.119429590017,448.6659008164657,171.2901807673871,4,18.837997436523438,0.32853727391920984
0,0,0,65376,18790.068237857675,18246.00478868534,448.74208970185657,171.1476629109727,8,31.163314819335938,0.7670447004493326
0,0,0,65376,18770.69370453113,18244.98886414254,448.59403663444954,171.17600443402685,1,9.079910278320312,0.0880204753484577
0,0,0,65376,18774.995702744516,18253.119429590017,448.61184697801707,171.22681020567808,2,12.485595703125,0.26129764318466187
0,0,0,65376,18792.223432929975,18255.153203342616,448.6824881284266,171.28597251102684,4,18.977890014648438,0.3513025303836912
0,0,0,65376,18781.452398693185,18250.069618490674,448.72058215360687,171.279436693044,8,31.347259521484375,0.6178446626290679
0,0,0,65376,18782.52894646337,18252.102712638556,448.4933426769447,171.22546811625858,1,9.17529296875,0.14938712120056152
0,0,0,65376,18784.682412290756,18251.08610894508,449.2502670028366,171.2997620371958,2,12.501739501953125,0.2640655776485801
0,0,0,65376,18785.759330390414,18262.274981887087,448.7967896128087,171.27684041062955,4,18.681350708007812,0.32392344414256513
0,0,0,65376,18776.071510428603,18261.25724476148,448.80846884925717,171.23880047136657,8,31.10260009765625,0.644624587148428
0,0,0,65376,18778.22349570201,18244.98886414254,448.6745014917934,171.29277745425728,1,9.12066650390625,0.11367445811629295
0,0,0,65376,18778.22349570201,18254.13625981839,448.65300042170753,171.14113764358166,2,12.517715454101562,0.25984851620160043
