confDC0,confDC1,confVDL0,confVDL1,perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps],n,cntMean,cntVar
0,0,0,65376,17512.693068248624,17057.782404997397,386.87496458053914,155.5979752509568,1,9.517807006835938,0.2500491214450449
0,0,0,65376,17501.468781712334,17053.34374186833,386.6362247275859,156.00065508087582,2,13.903228759765625,0.22293513175100088
0,0,0,65376,17508.014533019876,17059.558517284466,386.5979077370313,155.41886208615483,4,20.602264404296875,0.3167209466919303
0,0,0,65376,17508.950040074807,17045.35996670828,386.680937484143,155.6908305474836,8,33.793304443359375,0.5805984800681472
0,0,0,65376,17502.403589360114,17056.894487533184,386.6585798132314,156.70513677028075,1,9.470779418945312,0.24939029826782644
0,0,0,65376,17502.403589360114,17056.006662502605,386.9571994728464,156.94005213773826,2,13.921539306640625,0.21845329459756613
0,0,0,65376,17516.437697118727,17065.77782407166,386.8092018282779,156.17076602218265,4,20.615768432617188,0.3138986953999847
0,0,0,65376,17502.403589360114,17052.456286427976,386.7621769063983,157.36981859344,8,34.203704833984375,0.6358419870957732
0,0,0,65376,17508.950040074807,17051.568923349118,387.1391541255225,157.59581732390106,1,9.626312255859375,0.23404521401971579
0,0,0,65376,17502.403589360114,17054.231289684605,386.69873421306664,156.72274976492545,2,14.11419677734375,0.232015248388052
0,0,0,65376,17519.24721984602,17063.111851697562,386.77587230541695,157.12080723883486,4,20.55108642578125,0.31587162241339684
0,0,0,65376,17508.014533019876,17049.79447421822,386.70238502661175,156.59946704185288,8,33.68016052246094,0.581891551380977
0,0,0,65376,17510.821354138836,17058.670414909677,386.8822729333535,156.34229267040536,1,9.643035888671875,0.22954073455184698
0,0,0,65376,17509.885647109117,17050.681652617335,386.9028291560941,156.1360148245352,2,13.896469116210938,0.22467869496904314
0,0,0,65376,17511.757161179994,17062.223379328298,386.86994024814555,157.92005104642274,4,20.558822631835938,0.32442075735889375
0,0,0,65376,17506.14381878406,17055.11892989122,386.5399905158035,158.03086443866684,8,34.29241943359375,0.5900890193879604
0,0,0,65376,17507.0791259283,17056.006662502605,386.7945909193926,156.15565814072406,1,9.628677368164062,0.23344213492237031
0,0,0,65376,17504.273504273504,17056.006662502605,387.10165198654215,157.3680047525445,2,14.00604248046875,0.22936412319540977
0,0,0,65376,17515.501389779773,17064.00041660157,386.79550406886017,158.13099662871358,4,20.620941162109375,0.3135592704638839
0,0,0,65376,17502.403589360114,17056.006662502605,386.5203846802608,158.68657416083965,8,33.69721984863281,0.6189412453677505
0,0,0,65376,17496.796240922682,17052.456286427976,386.65721106022755,156.766837077883,1,9.46649169921875,0.24921288713812828
0,0,0,65376,17500.53407391583,17053.34374186833,386.342199584984,156.0308138001179,2,14.192062377929688,0.2358323798980564
0,0,0,65376,17509.885647109117,17065.77782407166,386.390944905566,157.72204089471447,4,20.548782348632812,0.31106632738374174
0,0,0,65376,17497.73054947402,17056.894487533184,386.6585798132314,158.35474982095207,8,33.74827575683594,0.5858200860675424
0,0,0,65376,17494.927923117993,17048.90738813736,386.4515520332107,156.85568683241314,1,9.555740356445312,0.2471066357102245
