7,9,6,6,5,8,7,7,6,8,7,8,8,6,29,7,9,6,7,7,9,8,7,8,29,30,6,8,8,8,17,7,8,7,7,9,29,9,8,8,7,7,8,6,6,8,8,6,9,5,9,29,7,8,7,57,7,8,7,29,49,8,8,9,7,7,8,7,7,8,8,8,7,29,8,8,29,6,7,8,8,7,46,44,29,6,30,7,27,29,7,13,7,7,8,8,7,7,8,7,7,7,9,8,5,8,6,7,7,7,6,7,45,8,7,8,30,29,6,29,7,7,6,49,6,7,7,7
6,5,8,6,6,7,29,6,7,6,27,8,13,29,13,7,7,14,8,7,6,27,29,6,8,7,6,7,7,6,31,6,6,46,5,8,46,6,6,7,6,8,5,8,7,7,6,7,6,8,6,6,7,6,8,8,7,6,7,7,29,9,7,7,29,6,5,8,6,31,6,7,7,7,7,7,66,8,7,6,27,28,5,45,8,6,8,29,7,6,48,29,7,7,8,7,7,29,46,8,8,8,7,8,6,29,29,7,8,7,7,8,8,47,7,7,9,29,6,7,7,8,7,8,8,8,7,7
7,6,7,8,29,8,8,7,7,7,8,7,9,7,7,27,17,29,8,7,8,7,8,9,5,6,7,11,7,49,7,7,8,30,8,31,7,7,7,7,8,7,8,7,9,8,30,8,8,7,6,29,7,7,9,8,6,9,7,8,29,7,14,8,8,7,7,7,7,7,7,7,8,8,7,7,8,7,7,8,8,8,7,7,8,9,7,30,7,29,9,7,29,28,6,8,29,8,7,9,8,8,7,7,29,7,7,29,7,8,8,7,8,7,7,8,6,7,7,7,8,8,7,8,7,8,7,7
29,8,7,47,8,6,8,27,6,6,29,48,5,7,7,7,8,8,7,8,7,7,8,7,7,8,46,7,7,8,29,5,5,6,7,6,6,7,8,8,9,29,7,8,8,7,8,7,7,7,7,25,6,7,6,9,8,8,8,29,7,7,7,8,7,8,51,7,6,29,7,57,7,7,7,7,29,7,6,7,6,8,7,67,7,7,7,8,51,6,84,9,46,31,6,6,7,7,7,7,8,30,7,2,7,8,9,29,7,8,7,8,5,7,7,7,8,9,8,29,50,8,7,7,8,7,7,6
5,6,7,7,7,7,7,8,7,8,7,7,6,7,8,7,8,4,8,8,7,7,7,6,6,8,8,7,7,29,8,9,26,8,7,8,6,8,29,51,8,8,8,8,58,8,9,67,29,7,7,7,8,7,8,8,8,8,7,7,7,7,7,5,29,6,6,7,7,6,7,7,7,6,8,44,45,48,8,8,8,7,8,7,7,6,7,49,7,39,6,7,5,29,6,27,7,27,27,9,8,6,8,7,7,6,8,5,9,6,6,27,7,5,49,7,8,29,8,7,29,5,6,7,8,8,29,9
7,27,7,30,9,8,7,7,8,8,29,27,7,7,6,7,29,8,8,8,29,6,29,29,8,9,8,29,7,8,9,8,8,8,8,7,26,31,7,29,7,27,8,8,9,8,8,65,8,8,29,9,8,8,7,7,8,8,8,7,8,7,8,9,8,7,7,8,7,8,8,9,9,27,7,8,29,8,8,8,9,8,10,29,7,8,8,7,29,8,8,7,29,9,8,7,7,48,31,8,7,8,50,8,7,10,7,8,9,6,7,9,9,9,9,8,49,8,8,8,6,8,7,8,8,8,9,6
29,8,7,8,8,8,9,7,47,47,27,9,8,7,8,29,8,8,29,8,7,31,7,7,8,7,7,8,7,7,7,7,31,8,7,7,8,6,5,7,27,7,8,47,29,8,7,29,7,27,8,7,7,57,7,7,9,8,8,7,31,6,7,8,8,8,7,6,7,7,7,8,27,8,6,7,7,8,7,51,7,7,9,7,7,7,7,8,8,8,14,27,9,6,9,7,29,8,6,8,7,8,7,7,6,19,8,7,7,7,7,7,6,46,29,6,8,7,27,7,7,7,29,7,8,8,29,29
8,9,8,18,9,27,8,8,29,8,7,29,29,48,9,7,8,8,9,7,7,7,8,7,9,9,8,8,7,9,9,8,7,9,7,7,7,29,8,8,8,7,8,8,7,7,9,8,29,9,7,50,31,9,29,6,7,7,7,7,9,9,8,8,8,9,8,7,8,8,8,7,9,7,49,9,7,6,7,7,8,8,9,8,8,45,27,8,9,7,6,30,7,8,8,31,7,7,9,9,66,8,7,8,7,8,8,8,8,8,7,17,8,8,7,8,7,8,29,29,9,46,8,8,7,9,9,25
55,8,8,8,8,29,9,7,8,8,8,7,7,7,8,7,8,8,8,8,8,7,7,8,9,8,7,7,9,31,6,8,30,7,7,8,8,9,7,9,7,8,29,8,30,8,7,8,7,29,29,35,6,7,8,6,7,9,7,7,7,7,9,29,29,9,9,8,7,9,7,9,8,31,8,7,9,8,8,7,29,8,7,8,8,6,29,7,7,8,8,7,8,10,9,7,8,8,8,7,8,9,17,29,8,7,8,7,7,7,9,8,8,8,8,8,9,8,29,9,31,29,9,8,8,7,7,7
6,7,60,7,7,7,6,9,7,7,7,8,49,8,9,7,9,7,9,7,6,7,7,9,6,7,7,7,9,8,9,27,29,7,8,7,6,8,7,7,8,7,8,27,8,7,7,8,7,8,8,29,7,7,30,51,7,8,8,6,46,29,8,9,9,9,9,7,29,9,7,29,7,44,7,7,7,8,7,9,7,7,8,8,9,7,8,27,6,7,31,8,8,27,7,8,9,7,14,9,9,8,6,7,8,27,8,7,8,8,8,7,7,29,33,71,7,8,7,7,8,7,8,7,7,27,7,27
54,54,55,55,55,55,55,54,55,54,54,54,54,54,54,54,54,55,55,54,55,55,54,55,55,54,54,54,55,54,54,54,55,54,55,54,55,54,55,55,54,54,55,55,55,55,54,54,54,55,54,54,54,55,54,55,55,55,55,54,54,54,55,54,54,55,55,55,55,55,55,54,54,55,54,55,55,55,54,54,54,55,54,55,55,54,55,55,55,54,55,55,55,55,54,55,54,55,55,55,55,55,54,55,55,55,54,54,55,55,54,54,54,54,54,55,55,55,54,55,55,54,54,55,54,55,54,55
54,54,55,54,55,55,55,55,54,55,54,54,55,55,55,54,54,54,55,54,55,55,55,54,55,55,54,54,55,55,55,55,55,54,55,55,54,55,55,55,55,54,55,55,55,55,54,55,54,55,54,54,55,55,54,54,54,54,54,54,54,55,55,55,55,54,54,54,55,54,55,55,55,55,55,54,55,55,55,55,54,55,55,55,55,54,55,54,55,54,55,54,54,54,54,54,54,54,54,54,55,55,54,54,55,55,55,54,55,54,55,54,54,54,54,55,54,54,54,54,54,55,54,55,55,54,55,55
55,55,55,55,55,55,55,55,55,55,55,55,54,54,55,55,54,55,55,55,55,55,55,54,55,55,54,55,55,54,55,55,54,54,54,55,54,55,54,54,55,54,55,54,54,55,54,54,55,54,54,55,54,54,55,54,54,54,54,55,54,54,55,55,54,55,55,54,54,54,55,55,55,55,55,55,54,55,55,55,54,54,55,55,54,55,55,55,55,55,55,55,55,54,54,55,55,54,55,55,54,54,55,55,55,55,54,55,54,55,55,55,55,54,55,55,55,55,54,55,55,55,55,55,55,55,54,54
54,55,55,54,55,55,55,55,55,55,55,54,55,55,55,55,54,55,54,55,54,54,55,54,54,55,54,55,55,55,55,55,54,55,55,55,54,55,55,55,54,54,55,54,54,55,54,55,55,54,54,55,55,54,54,55,55,55,54,55,55,55,55,54,54,55,55,55,54,54,55,55,54,54,54,54,54,55,55,55,55,55,55,54,55,54,55,54,55,54,54,54,54,54,54,55,55,54,54,54,54,54,54,55,55,55,54,55,54,55,55,54,54,54,54,54,55,54,54,54,55,54,54,54,54,55,54,54
54,55,54,55,54,54,55,55,54,54,55,55,54,55,54,54,55,55,55,54,55,55,55,54,54,55,55,55,54,55,54,55,54,54,54,55,55,55,55,54,54,54,54,54,54,55,55,54,55,55,54,55,55,54,55,55,55,54,55,54,54,54,54,55,55,54,55,55,55,54,55,54,54,54,55,54,55,55,54,55,54,55,55,54,55,54,54,54,54,54,54,55,54,55,55,54,55,54,54,54,55,54,54,55,55,55,55,55,55,54,54,54,54,54,55,55,54,55,54,54,54,55,54,55,54,54,54,54
55,54,55,54,54,54,55,54,54,54,54,55,54,55,55,55,55,55,54,55,54,55,54,55,55,55,54,55,55,55,54,55,54,54,55,55,54,54,55,54,54,54,55,55,54,55,55,55,55,55,55,55,54,54,55,54,55,54,54,54,54,55,54,54,55,55,55,54,55,55,55,55,55,55,55,54,54,55,55,54,54,54,55,54,55,54,54,55,55,55,54,55,55,55,55,55,55,54,55,55,55,54,55,54,55,54,55,55,55,54,54,55,54,55,54,54,55,54,55,54,55,54,55,55,54,55,55,54
55,54,54,54,55,55,55,54,54,54,55,55,55,54,54,55,54,55,55,54,54,54,55,55,54,54,54,55,55,54,55,55,55,54,54,54,55,55,55,54,54,55,54,54,54,55,54,55,55,55,55,55,54,55,55,55,54,55,55,55,54,55,54,55,55,54,55,54,54,55,55,54,55,55,55,55,55,55,55,55,55,54,55,55,55,54,55,54,55,55,54,54,55,55,55,55,54,54,54,54,54,55,55,55,55,54,54,55,54,54,55,54,54,55,54,54,54,54,54,54,54,55,54,55,54,55,55,54
54,55,55,54,54,54,54,54,54,54,54,54,54,54,55,54,55,55,54,55,54,55,55,54,54,55,55,55,55,54,54,54,55,54,55,54,54,54,54,55,55,55,54,54,55,55,54,54,55,54,54,55,55,55,55,54,55,55,54,55,55,55,54,54,55,55,55,55,54,55,54,54,54,54,55,54,54,54,54,54,54,55,55,55,54,55,54,54,55,54,55,54,54,54,55,54,55,55,54,54,55,55,54,54,55,55,54,55,55,54,54,55,54,54,54,55,55,55,55,54,54,55,55,54,55,55,54,54
55,55,54,54,54,55,55,54,54,54,54,54,54,54,55,54,55,54,55,54,55,55,55,55,55,55,54,54,55,55,55,55,54,55,54,54,54,54,54,55,54,55,54,55,54,55,54,55,54,55,54,54,55,54,55,54,55,54,54,54,54,55,54,54,55,55,54,54,55,55,54,55,55,55,55,54,54,54,55,54,55,54,55,54,55,55,54,55,54,54,54,54,54,54,55,54,55,55,55,54,54,55,55,55,55,55,54,55,55,55,55,55,55,55,55,55,54,55,55,54,55,55,55,55,55,55,55,54
55,55,54,55,55,54,55,55,54,55,55,54,54,54,55,54,55,54,54,55,55,54,54,55,55,55,55,55,54,55,55,55,55,55,55,55,55,55,55,55,54,55,55,55,55,55,55,55,55,55,54,55,55,55,55,54,55,54,55,55,54,55,55,55,55,54,55,55,55,54,55,54,54,55,54,55,55,54,55,54,54,55,55,55,55,54,55,54,54,55,55,54,55,55,54,54,55,55,55,54,54,55,54,54,54,54,55,54,55,54,55,55,55,55,55,54,55,55,55,55,54,55,54,55,54,55,54,55
55,54,54,55,54,54,54,54,54,54,54,54,54,54,54,54,55,55,55,54,55,55,54,55,55,54,54,54,55,55,54,54,55,54,54,54,55,54,54,55,54,55,54,54,54,54,55,54,54,55,54,54,55,55,55,55,55,54,54,54,55,54,55,55,54,55,55,54,54,55,54,54,55,54,55,54,54,55,55,55,55,55,55,55,55,54,55,55,55,55,54,55,55,55,54,55,54,54,55,54,54,54,54,54,54,55,54,54,55,54,54,54,55,55,54,55,55,55,55,54,54,54,54,55,55,55,55,55
54,54,54,54,54,55,55,54,54,55,55,55,54,55,54,54,54,54,55,55,55,54,55,55,55,55,54,55,54,55,54,54,55,55,54,55,55,54,55,54,55,55,54,55,54,54,54,54,55,54,55,54,55,55,54,55,54,54,54,54,54,54,55,55,55,54,55,55,54,55,54,55,54,55,55,55,55,54,55,55,54,54,54,55,55,55,55,55,55,55,55,54,54,54,55,54,55,54,55,54,55,54,54,55,54,54,54,55,54,54,54,55,55,54,54,54,54,55,54,54,54,55,54,55,54,54,54,54
54,55,55,54,55,55,54,55,55,55,54,54,54,54,54,55,55,55,55,55,54,55,55,55,55,54,55,55,55,54,54,54,54,55,54,54,54,55,55,55,55,54,54,54,55,55,55,55,55,55,55,55,55,54,55,55,55,54,54,54,55,55,55,54,54,55,55,55,54,55,55,54,55,55,55,54,54,54,54,55,55,54,55,54,54,55,54,55,55,54,54,55,54,55,54,55,55,55,55,54,55,54,55,54,55,55,55,54,55,55,54,54,54,55,54,54,54,54,54,55,55,55,54,55,54,55,55,55
54,55,54,55,54,55,55,55,54,54,54,55,55,54,54,54,55,54,55,55,54,55,55,55,55,55,54,54,54,55,54,54,55,55,54,55,55,54,55,54,55,55,55,55,55,55,55,55,54,54,54,55,54,55,54,55,55,55,55,55,55,54,55,55,54,54,55,54,54,54,55,55,54,54,54,54,54,55,54,54,55,54,55,54,55,55,54,54,55,54,55,55,54,54,55,54,54,55,54,54,54,55,55,54,55,55,54,55,54,55,54,55,54,54,55,55,55,54,54,55,55,55,55,54,54,54,54,55
