confDC0 [-],confDC1 [-],confVDL0 [-],confVDL1 [-],perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps]
07450,02981,06674,21510,3530.1,3588.3,225.14,215.49
02683,00991,49794,35204,3518.2,3579.9,225.82,216.03
52704,06577,33569,62468,3509.3,3571.1,225.61,215.68
03032,19471,37760,21824,3525.9,3579.7,237.39,227.81
29234,14641,19074,49800,3512.2,3576.4,226.12,216.49
34067,29026,50315,06962,3502.9,3565.7,196.33,186.66
04804,01678,21509,35846,3535.9,3595.8,225.12,215.45
47137,21018,01809,06785,3501.5,3571.7,225.44,216.10
13590,09749,10769,20995,3513.0,3578.4,225.48,215.63
21270,41079,25729,24072,3521.0,3582.9,224.85,215.78
32893,01766,15552,37091,3527.5,3589.3,207.85,198.43
04695,01439,18056,18954,3517.4,3578.4,225.66,216.04
29345,01679,09320,52744,3512.9,3579.9,225.31,215.96
02252,35335,21028,39048,3515.6,3571.7,225.19,215.69
12840,01467,33968,58116,3528.4,3588.7,225.68,216.12
21270,01660,13448,39041,3520.5,3581.8,225.30,215.57
61376,32951,03155,26952,3496.4,3561.1,215.14,205.57
59154,44976,34935,11604,3517.9,3580.9,200.98,191.32
04053,02697,17463,24699,3524.4,3579.7,206.62,196.68
04695,57431,12592,40449,3518.6,3576.0,225.22,215.46
12851,02156,06696,44416,3520.7,3586.2,225.15,215.53
48880,19218,02834,35138,3515.6,3579.1,225.69,216.00
13233,04509,22608,18947,3524.5,3581.7,225.67,215.78
53387,53413,12580,14496,3518.9,3575.7,225.34,215.76
03032,18481,39042,48132,3524.8,3579.7,225.64,215.75
45024,02695,35345,03488,3521.8,3589.8,225.45,215.80
02506,29297,09298,22336,3511.2,3568.8,225.46,216.07
28967,31495,41219,43168,3508.4,3574.3,225.75,215.97
02025,10515,43017,50182,3529.5,3585.5,225.46,215.65
02428,03405,10884,20288,3534.0,3592.5,225.97,216.24
01503,03927,10764,02852,3518.2,3576.1,225.44,215.72
48392,02143,00942,24812,3498.5,3585.3,212.10,202.11
03032,02037,10516,57378,3521.1,3577.6,225.61,215.32
51974,02895,17676,54792,3484.0,3575.7,225.44,215.42
12603,02217,09272,49674,3525.6,3584.9,225.64,215.71
04695,01453,33814,17188,3519.0,3571.2,225.66,215.91
52704,05282,05396,06689,3509.1,3570.9,225.00,215.26
29234,61732,35333,19462,3511.2,3575.6,225.55,215.53
