confDC0 [-],confDC1 [-],confVDL0 [-],confVDL1 [-],perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps]
03269,45164,03620,33994,3781.3,3839.3,224.78,215.48
03269,50465,04936,33891,3778.4,3839.5,224.78,215.40
52996,33106,52482,04523,3780.2,3836.2,224.55,215.70
08507,04600,17224,20659,3781.2,3838.2,224.71,215.66
24782,32894,34057,01622,3799.9,3838.4,224.42,215.65
36959,53353,12578,03297,3781.7,3837.6,224.65,215.52
64912,03420,38932,34893,3785.3,3831.4,223.69,215.41
64912,38418,02884,03304,3786.7,3836.7,224.41,215.35
36986,37035,06728,12439,3791.4,3844.2,224.95,215.80
05668,27655,22594,12529,3789.9,3849.7,225.12,215.77
03269,04551,17744,33898,3776.2,3836.4,224.84,215.54
44704,02776,10373,08684,3775.3,3833.9,224.38,215.43
02218,12600,44290,04526,3778.1,3838.3,224.35,215.70
01263,02297,05792,16826,3783.2,3836.0,224.32,215.93
64912,05698,07240,16822,3785.5,3840.5,224.16,215.47
55280,04978,19586,12532,3782.5,3840.3,224.79,215.77
03674,38927,37953,34002,3786.1,3845.8,224.22,215.70
15378,01662,18112,01607,3779.5,3833.7,224.20,215.57
52996,02235,05638,08510,3782.6,3835.7,224.92,215.93
04903,02474,33548,24805,3778.3,3831.8,224.45,215.86
11569,03256,06662,03214,3779.9,3829.8,224.68,215.85
36959,02503,09552,08681,3778.5,3834.2,224.38,215.80
06337,09361,09000,28833,3784.7,3843.1,224.11,215.49
13078,34578,10253,08507,3787.3,3843.4,224.87,215.80
36986,32520,01801,03130,3791.7,3849.9,224.31,215.75
28892,55306,41632,08603,3782.2,3828.3,224.58,215.80
04903,43021,42144,24733,3776.3,3837.4,223.97,215.55
02218,64912,34316,29344,3781.0,3839.1,224.91,216.24
01263,59151,53296,12524,3784.9,3846.7,224.56,215.79
12600,03496,41632,34887,3786.3,3838.2,224.53,216.02
29745,60168,19459,08591,3779.4,3835.0,224.70,215.99
10817,27856,17192,20647,3790.3,3847.5,224.82,215.81
02296,01991,24737,16811,3785.0,3840.1,224.70,215.54
09496,65152,44290,33906,3781.3,3841.3,224.41,215.78
52996,41553,50241,08677,3782.9,3836.5,223.98,215.70
57448,56240,24850,29058,3781.6,3835.6,224.58,215.52
44704,05617,57392,16814,3773.8,3837.0,223.97,215.63
04509,02774,42754,03298,3771.9,3829.6,224.49,215.85
55280,15378,09752,12446,3781.6,3837.5,224.95,215.94
28352,63495,08461,04531,3775.6,3831.4,224.81,215.76
39175,29459,41256,01619,3783.9,3839.5,224.28,215.63
02006,49257,20617,12517,3778.0,3846.7,224.90,215.84
02172,21524,52482,31616,3777.6,3835.8,224.41,215.82
02908,26657,35081,25008,3778.5,3836.7,224.11,215.88
12770,47088,34116,20654,3777.6,3838.4,224.60,215.88
04724,08802,35340,24817,3781.3,3842.2,224.74,215.59
55280,16924,52482,03123,3782.2,3841.6,224.29,215.60
01901,02460,18984,03118,3772.4,3828.0,224.94,215.61
41081,36975,47618,01613,3790.6,3853.3,224.18,215.33
08507,01993,12562,12521,3780.3,3833.0,224.72,215.55
03269,21105,07171,08696,3776.5,3837.5,224.94,215.53
04903,13333,24597,08503,3778.8,3835.7,224.25,215.46
02789,04463,51217,24993,3774.4,3833.8,224.47,215.44
01753,47072,08966,03111,3774.0,3837.2,224.20,215.71
04569,49287,37264,24637,3771.7,3833.5,224.13,215.25
01661,01783,12880,03126,3769.6,3830.0,224.23,215.69
08756,47623,12930,12720,3768.8,3834.2,224.01,215.66
65283,43728,37409,01748,3783.2,3842.1,224.82,216.20
31952,45272,37409,28834,3792.8,3840.8,224.91,216.57
02172,16932,13346,33852,3779.1,3841.1,225.12,216.31
60676,02174,02836,01565,3777.9,3838.1,224.52,216.05
41777,19471,10373,24810,3780.9,3843.8,224.45,216.10
01263,06172,34113,34020,3782.3,3837.4,225.43,216.45
18959,07521,21002,01652,3789.2,3845.4,225.28,216.28
37345,27840,08984,24806,3792.5,3852.3,224.50,215.99
04724,41247,34026,12980,3781.7,3843.6,211.17,202.15
55280,06801,03843,65028,3787.4,3842.5,211.30,202.15
06337,35341,03658,61200,3785.3,3850.7,211.43,202.31
39175,37651,63776,48900,3787.6,3845.8,211.10,202.08
36986,03977,35952,15264,3802.9,3845.5,211.07,202.47
03828,24811,01811,35062,3793.8,3859.8,210.65,201.95
11569,09121,38994,12601,3781.9,3839.0,210.95,202.15
08818,01902,03426,65025,3777.9,3833.1,211.00,202.13
34578,53398,34385,01767,3767.3,3836.1,210.73,202.06
02008,03919,33339,33502,3769.0,3829.0,212.31,203.46
01661,43504,33562,06365,3772.3,3837.0,212.31,203.28
12643,12613,44066,61856,3773.7,3837.3,212.11,203.42
28352,02552,43282,09341,3775.5,3828.5,212.05,203.24
04567,57636,39186,05370,3768.9,3831.4,212.24,203.42
