confDC0 [-],confDC1 [-],confVDL0 [-],confVDL1 [-],perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps]
13867,41459,03141,03714,2670.9,2731.9,227.22,215.35
17478,13892,44034,19462,2667.9,2730.7,227.66,215.78
05087,09187,17477,12578,2672.3,2730.9,228.46,216.56
35745,09412,08972,49674,2676.9,2735.9,227.52,215.86
06597,37348,06424,43168,2670.2,2732.4,228.07,215.89
06360,19492,01577,49856,2675.7,2734.2,227.88,216.05
62248,05023,01620,49697,2667.6,2731.1,227.39,215.51
32625,64546,05282,19010,2657.3,2723.5,227.12,215.59
05848,17462,21184,59968,2682.5,2738.2,228.04,216.07
29038,18274,08802,03488,2664.3,2727.0,228.27,215.99
06597,29254,53257,03620,2670.0,2730.9,228.18,215.79
13476,13970,33923,62016,2680.8,2734.2,227.50,215.99
07667,24114,44048,50308,2668.6,2724.7,228.36,216.38
14119,06024,17482,40449,2676.0,2736.0,227.53,215.65
10994,05051,09241,17926,2670.8,2732.8,228.14,216.43
29038,17987,25217,27396,2663.7,2730.5,228.26,216.05
21490,16767,05164,22664,2669.7,2732.8,227.55,215.83
21141,22807,17155,37153,2676.5,2737.7,228.08,216.18
40833,09530,08732,35352,2673.4,2731.2,231.47,219.56
45667,24926,17415,48132,2668.9,2729.9,228.09,215.97
21141,13746,41057,58116,2677.6,2737.2,228.18,215.98
11218,18216,17569,34310,2675.5,2733.4,228.37,216.05
15202,49960,07968,01873,2665.3,2728.2,217.65,205.35
40833,25642,09297,53288,2672.8,2730.9,226.99,215.39
13045,08903,33680,18694,2675.6,2730.4,227.84,215.77
05754,37940,08754,22273,2676.4,2732.7,228.50,216.31
21490,23697,09092,20995,2669.7,2731.1,228.06,215.72
27415,59249,05296,18954,2656.7,2725.0,227.79,216.08
17961,29066,01247,37156,2677.8,2739.6,226.76,215.15
21054,23832,17554,53384,2665.0,2732.8,228.10,215.92
12955,05990,49250,17698,2675.4,2733.9,227.98,215.77
05754,34977,41012,23872,2675.7,2732.3,227.48,215.66
31002,25235,10282,35168,2665.1,2732.0,227.91,215.90
09100,05471,16598,01181,2671.2,2729.3,245.42,233.74
14119,07556,43552,10788,2676.5,2735.2,228.75,216.76
21573,27160,25217,18784,2660.5,2726.7,228.25,216.18
51825,24341,05204,58884,2664.6,2732.1,227.98,216.21
51825,17650,05505,39688,2665.9,2733.4,227.53,215.52
20986,15908,33817,28832,2669.5,2731.1,227.96,215.84
38430,16305,12880,50946,2663.5,2728.5,225.38,213.26
06900,37762,05282,56328,2674.0,2732.1,227.17,215.30
59057,48721,04944,51976,2669.6,2729.1,227.68,215.51
08024,49494,37132,05638,2677.6,2739.8,227.95,216.07
38430,24971,10322,19080,2663.8,2730.5,228.55,216.22
21490,49707,08858,18574,2669.4,2729.1,219.66,207.69
22658,25907,17422,49667,2672.2,2730.0,227.93,215.69
17961,09459,06412,07300,2678.1,2738.0,228.17,215.94
46620,62689,37385,05668,2663.8,2728.3,228.07,215.74
41769,14450,21004,17956,2669.1,2734.6,228.13,216.01
13045,20984,37144,63552,2675.9,2737.0,227.85,215.56
05087,33161,17569,45186,2671.9,2733.6,228.28,215.92
17140,53590,53257,42880,2667.9,2730.9,228.07,215.99
05787,46364,16639,04900,2675.6,2733.3,227.75,215.69
55063,20860,17569,03590,2671.9,2735.6,228.31,216.03
05535,57779,14465,28706,2671.2,2730.0,227.71,215.42
06503,62756,01350,57504,2670.2,2730.4,228.03,216.02
14375,29299,05296,24072,2666.1,2730.1,227.74,215.80
37700,08008,18832,06496,2675.8,2738.4,228.07,215.71
09652,10450,34907,42832,2675.8,2729.7,209.05,196.49
05775,52770,10881,63492,2670.0,2724.2,227.25,214.70
25004,41352,11552,12160,2673.7,2734.2,227.98,215.96
06360,50833,33330,37505,2674.7,2733.9,228.15,215.87
09367,62998,19073,18820,2668.4,2722.8,228.32,216.00
55063,20003,01555,22336,2673.4,2735.6,227.95,215.99
38181,15131,21122,30080,2669.1,2730.4,227.64,215.36
07257,09352,33937,49793,2674.2,2736.6,228.20,216.10
12955,04991,33923,44416,2676.2,2729.6,227.49,215.54
08910,62245,17569,35105,2664.2,2727.8,228.35,216.06
29085,53011,14465,21002,2669.5,2731.3,227.63,215.74
35745,16889,01442,02822,2677.3,2738.1,227.76,215.87
10388,18530,09241,26784,2672.0,2724.6,228.06,216.20
17016,08036,09368,37160,2677.0,2737.5,228.28,216.22
47382,07827,17492,06666,2661.9,2727.4,227.48,215.66
31002,20919,05314,21537,2664.6,2733.8,228.34,216.45
10550,30490,24837,45216,2667.4,2731.6,227.72,215.85
22559,21557,18880,17312,2669.8,2735.1,227.50,215.28
51825,10029,22537,49504,2664.2,2733.6,228.33,216.02
21141,07241,25217,35936,2675.6,2735.6,228.15,216.04
10295,06475,05169,52544,2664.4,2723.5,227.51,215.71
12955,18227,06785,05665,2675.8,2730.9,228.82,216.90
09652,16827,09289,50182,2676.0,2734.2,227.73,216.04
21096,25954,09368,15108,2661.1,2723.3,228.28,216.36
17717,45401,49552,62468,2671.8,2735.1,227.81,215.70
06597,29049,28816,49414,2669.0,2732.8,227.34,215.71
15155,23441,43521,43088,2674.8,2734.4,233.38,221.14
62248,22820,41184,40200,2669.8,2731.1,228.33,216.24
31002,09318,20746,34208,2666.8,2732.1,228.34,216.19
21828,42657,05296,33542,2664.0,2727.5,227.85,215.93
06791,55409,09104,37984,2677.2,2734.3,227.96,216.04
21188,06715,05296,60420,2674.7,2734.7,228.02,215.85
05501,26194,05296,54529,2665.3,2726.1,228.01,215.96
06360,50609,09356,05506,2675.7,2735.5,228.31,216.09
37491,21426,37250,19586,2663.3,2728.5,227.57,215.00
55063,05767,09634,62536,2673.1,2734.0,206.02,193.73
06999,37746,01392,42754,2662.7,2728.0,227.23,215.07
51825,26141,09289,20742,2665.4,2732.5,227.82,215.54
28210,29284,14928,46360,2677.0,2738.3,209.02,196.41
31002,17378,09297,20866,2666.0,2731.5,226.96,214.89
