confDC0 [-],confDC1 [-],confVDL0 [-],confVDL1 [-],perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps]
17593,07656,26338,23468,2236.7,2303.9,180.49,165.80
09974,13223,61252,31142,2237.2,2300.3,180.16,165.81
32067,39464,52840,07423,2231.3,2300.8,180.24,165.56
34915,13254,59104,37375,2236.3,2301.9,180.40,165.81
17802,42820,50398,47718,2238.8,2301.0,180.51,165.90
33748,11094,36212,48969,2236.7,2303.1,179.98,165.57
18250,61851,15526,57113,2237.6,2306.4,180.42,165.78
23605,07847,56355,23971,2236.8,2300.3,180.46,165.75
32067,15602,40049,63651,2231.1,2302.2,180.46,165.74
29773,23593,34291,52908,2233.9,2302.4,180.51,165.81
29813,43378,56482,32596,2235.0,2301.1,180.58,165.78
08185,14424,11686,55730,2237.6,2300.6,180.68,165.86
11597,09686,56343,59099,2239.8,2304.9,171.33,156.98
24388,48919,32530,54949,2230.0,2294.8,180.60,165.76
13438,24194,50727,36095,2240.3,2304.8,180.46,165.59
11597,10645,27701,54691,2240.2,2305.0,180.51,165.70
62851,21207,13502,56492,2238.2,2297.0,180.36,165.55
38068,13165,34286,31458,2242.3,2303.7,180.40,165.86
29542,41624,63272,08162,2234.6,2299.0,180.40,165.78
17384,10102,38454,54754,2235.6,2298.3,180.23,165.59
11189,17245,52329,61268,2239.4,2302.0,180.68,165.73
32067,24102,58977,63305,2231.3,2300.2,180.37,165.50
46408,09657,58421,56518,2238.1,2305.9,180.34,165.64
34915,22597,20274,54830,2235.3,2303.4,180.56,165.56
40338,54581,11686,52650,2243.0,2303.7,180.82,165.84
25588,05870,42609,23398,2236.4,2301.3,180.04,165.37
18991,46392,15976,63590,2239.3,2300.8,180.65,165.74
38499,27459,13437,64789,2232.8,2300.1,180.59,165.78
16173,61838,12067,55694,2240.3,2304.8,180.80,165.80
32370,40673,11896,42459,2229.6,2295.0,180.17,165.31
13662,25197,58659,39858,2237.5,2300.7,180.80,166.04
32067,59429,35999,56419,2229.9,2299.2,180.47,165.71
13709,43557,52295,54956,2245.0,2304.6,180.88,165.85
11748,26677,42466,52014,2237.4,2298.0,180.27,165.60
11657,13301,46627,25951,2241.5,2302.6,180.25,165.56
08185,15672,46754,40620,2236.4,2299.3,180.39,165.65
21894,07834,43574,52643,2243.8,2305.2,180.35,165.71
17353,60113,42601,56010,2226.9,2289.7,180.45,165.85
46408,10559,50801,55988,2237.6,2304.9,180.65,165.81
13244,55154,54626,23461,2238.4,2298.0,180.57,165.69
17551,25988,23906,62178,2241.1,2305.7,180.73,165.80
40338,26003,52295,62630,2243.7,2302.0,180.76,165.77
15686,06634,52302,39815,2231.7,2297.3,180.63,165.91
36722,09704,15480,56455,2241.4,2308.1,180.40,165.76
13750,29635,34479,10079,2233.7,2295.0,180.09,165.61
38068,21368,54626,55916,2242.3,2303.7,180.59,165.71
32067,62028,07734,61336,2231.0,2299.9,180.39,165.57
21643,07878,15461,52934,2247.2,2306.3,180.60,165.95
52066,39476,15473,31910,2228.3,2294.0,180.58,165.79
14426,27430,46181,24034,2237.6,2302.0,180.26,165.54
17366,30253,52792,52901,2235.8,2300.5,180.47,165.67
14456,28189,52295,47779,2239.1,2303.0,180.80,165.75
35878,29384,44611,55909,2239.3,2303.5,180.54,165.67
09647,33433,44310,31395,2242.1,2301.7,180.67,165.88
18340,06588,34286,54698,2237.4,2299.9,180.33,165.73
40802,42286,27734,23524,2230.9,2298.3,180.36,165.52
11657,34994,15969,56003,2241.0,2299.7,180.86,165.79
29813,39538,50727,52007,2234.0,2300.5,180.40,165.52
18761,41844,63298,55651,2234.5,2303.0,180.15,165.72
57934,44273,15954,44710,2237.4,2302.5,180.83,165.91
32402,53690,50727,52706,2237.2,2300.0,180.36,165.57
17802,36659,42549,55012,2238.6,2297.6,180.18,165.72
11657,19170,07291,63384,2242.9,2301.2,180.24,165.84
46483,59675,58421,57176,2235.0,2296.7,180.21,165.54
46483,62706,32530,24292,2235.3,2298.2,180.67,165.60
41685,25255,16034,40613,2241.6,2303.5,180.56,165.64
11893,09614,15526,54244,2244.6,2304.1,180.36,165.65
13737,10390,28257,40355,2237.0,2296.1,180.32,165.64
10092,20051,29812,52835,2232.4,2296.4,180.59,165.86
21655,28514,50398,39878,2236.0,2299.4,180.74,165.72
34035,17071,28242,23978,2240.9,2304.7,180.47,165.69
62851,13796,35999,52964,2237.3,2298.1,180.40,165.59
25588,62056,59746,55853,2237.1,2300.1,180.73,165.92
10486,35892,61204,40362,2239.4,2298.6,180.51,165.70
13244,13673,44182,55862,2238.9,2297.7,180.40,165.71
