confDC0 [-],confDC1 [-],confVDL0 [-],confVDL1 [-],perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps]
02456,08548,18112,34906,3926.3,3986.6,224.33,216.01
03133,42720,34436,33948,3926.9,3987.2,224.47,216.17
52352,20773,22594,33939,3931.2,3988.1,225.09,216.47
48899,42736,25184,08675,3927.8,3986.6,224.23,215.90
03174,01645,49800,33845,3921.2,3979.1,224.40,216.08
09748,02021,35457,33945,3929.9,3986.6,224.65,216.26
09748,32953,25136,04531,3929.1,3989.0,224.26,215.79
19463,23307,41360,01619,3924.7,3986.9,223.81,215.73
04962,02951,17185,34887,3922.4,3978.6,224.10,216.02
51616,53352,03345,03298,3932.6,3987.9,224.54,216.28
36999,09089,17794,33837,3931.7,3990.4,224.86,216.40
19721,38923,09000,52544,3924.6,3992.5,224.56,215.83
49363,01497,02825,28834,3933.0,3983.7,224.52,216.21
53334,39376,21514,01748,3951.6,3990.4,224.78,216.48
57523,56069,07171,24810,3933.0,3983.6,224.83,216.18
36999,59147,24850,08636,3937.5,3990.7,224.53,216.36
48899,61499,38080,03237,3924.6,3986.2,224.64,216.52
02201,37080,24737,03252,3931.1,3994.6,224.82,216.52
37061,35846,49800,33933,3932.7,3990.4,224.35,216.14
19463,23561,01860,08000,3925.7,3985.9,224.69,216.67
06513,04505,49441,25000,3929.4,3989.3,223.96,216.03
06513,50880,37444,01614,3929.9,3989.6,224.41,215.97
07700,47776,37921,24623,3921.8,3987.7,224.46,216.09
37061,49379,18112,34899,3935.4,3993.8,224.43,216.00
61528,46098,24740,12518,3937.3,3988.9,224.40,215.86
47312,50703,57424,08495,3934.3,3994.3,224.09,216.01
53334,37149,12810,31520,3950.6,3993.9,224.84,216.41
19465,13377,51360,12706,3934.0,3990.4,224.44,216.14
03388,30731,06496,12522,3931.0,3999.2,224.88,216.45
52352,01405,06448,08682,3932.0,3979.1,224.95,216.14
