confDC0 [-],confDC1 [-],confVDL0 [-],confVDL1 [-],perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps]
11535,03314,00311,38145,3775.3,3836.1,209.30,200.47
02948,38384,04642,39172,3785.7,3839.1,208.76,199.96
37091,04690,08403,00365,3776.7,3839.8,208.43,199.54
03475,03923,16604,00461,3781.0,3835.7,208.15,199.39
02499,35504,16461,10274,3777.9,3838.8,216.23,207.44
04754,19168,02704,00307,3775.9,3839.0,216.35,206.97
00911,50848,05200,08964,3775.8,3837.9,215.67,207.16
30476,20710,05200,08393,3770.6,3833.4,215.79,206.99
24777,15368,16920,00403,3774.6,3830.2,215.71,207.22
36099,01608,16596,00331,3789.6,3851.1,215.58,206.97
01732,37249,32925,00472,3781.3,3839.2,216.00,207.11
11535,47744,20800,17552,3773.3,3839.3,215.23,206.62
16638,41761,02250,04181,3784.6,3838.5,220.27,211.60
00923,27312,02168,53252,3781.1,3836.9,220.04,211.31
00923,29233,02119,04243,3779.0,3838.5,219.79,211.09
14605,02629,10560,03120,3786.9,3843.4,219.61,211.06
16320,43281,33664,06162,3773.2,3837.0,220.14,210.85
53320,24789,37380,02134,3774.2,3831.9,219.28,211.04
49222,34567,01165,03108,3773.7,3833.7,219.72,210.95
02136,41076,03332,04308,3771.7,3833.0,219.67,211.03
03475,53317,41232,37904,3775.9,3835.9,222.22,213.31
02499,43664,32948,35844,3776.9,3837.7,222.15,213.47
02499,17697,32903,02213,3775.7,3835.9,222.40,213.47
37425,49221,33092,02817,3780.5,3844.6,221.93,213.06
24081,42912,32994,02153,3784.8,3844.1,222.00,213.24
24777,15808,38976,02149,3775.6,3834.9,221.68,212.94
12897,24682,00724,05696,3776.6,3833.9,220.76,212.39
49224,20603,04241,22532,3769.6,3829.3,223.00,213.89
27908,00859,32825,37121,3791.6,3847.3,222.97,214.34
47760,51460,16515,14340,3765.1,3828.9,223.22,214.00
00877,41313,32813,06660,3785.5,3839.4,222.81,213.88
37425,20400,41224,19584,3780.1,3842.1,222.42,213.74
01430,19184,34888,62720,3777.7,3839.6,223.56,214.40
09041,43904,08353,22536,3780.2,3840.2,223.31,214.57
20700,11533,08353,03456,3776.5,3837.4,223.21,214.51
00911,54283,32795,38928,3777.2,3836.5,224.31,215.41
46560,02133,29952,14464,3782.2,3846.2,224.12,215.44
16320,55300,04163,03329,3774.5,3835.2,224.28,215.42
03628,01113,16530,06464,3800.0,3848.0,224.69,215.67
05398,16543,16530,00534,3795.2,3859.4,224.31,215.52
02632,57443,04236,16454,3778.2,3840.6,224.45,215.49
28978,49206,32969,32256,3782.6,3840.0,224.28,215.31
11535,45333,32978,06784,3774.4,3835.5,224.14,215.14
02948,61539,32888,06432,3782.5,3837.3,224.70,215.82
02948,46528,16436,56064,3784.3,3837.4,224.03,215.36
02228,00639,35088,16406,3786.7,3840.6,223.90,215.39
