confDC0 [-],confDC1 [-],confVDL0 [-],confVDL1 [-],perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps]
03658,31238,08741,06243,4024.4,4085.1,225.40,216.47
01704,01686,01636,05259,4021.6,4084.3,225.40,216.56
02920,53336,33873,02410,4018.8,4080.8,225.60,217.10
16920,02245,08254,43268,4030.7,4082.9,239.55,231.18
02199,03386,02570,37004,4019.3,4084.9,239.67,230.90
61718,45132,16535,04804,4007.2,4085.7,239.56,230.96
01702,59280,16595,00866,4017.0,4083.3,240.07,231.54
37077,50447,02278,44048,4015.9,4078.8,240.21,231.71
03643,20734,04330,18304,4019.4,4082.4,240.33,231.50
36752,43904,33866,06316,4017.2,4083.0,225.36,216.35
02201,38921,00812,10441,4014.7,4080.4,223.96,215.50
02186,38668,01349,03267,4021.6,4088.0,225.44,216.79
23264,27909,25620,10438,4013.7,4083.2,224.21,215.30
03539,45334,20804,10466,4016.6,4085.7,224.27,215.78
15884,41064,31104,10379,4017.1,4081.6,224.28,215.45
02186,38608,57378,10318,4019.6,4086.9,224.27,215.24
23264,03158,16931,10382,4014.1,4082.0,224.48,216.07
12823,16320,17415,12303,4029.1,4094.2,225.77,217.13
15884,02876,10530,15624,4017.5,4080.4,223.41,215.03
17217,00941,33866,03241,4032.5,4087.0,225.42,216.40
04019,50624,33050,03242,4015.5,4082.7,225.00,216.21
04502,35504,04611,13856,4019.1,4082.2,239.76,230.84
02920,36927,01554,20644,4019.7,4079.0,239.83,231.72
28798,42912,04314,41156,4016.4,4079.7,240.05,231.37
27104,29203,09632,07938,4020.1,4087.7,225.46,217.31
01704,61495,02330,10480,4024.1,4084.9,225.68,216.72
12586,41077,08774,09324,4032.0,4088.2,225.95,217.49
