confDC0 [-],confDC1 [-],confVDL0 [-],confVDL1 [-],perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps]
53399,01466,39110,58248,4306.8,4320.7,216.01,208.03
02175,25249,10905,26392,4250.9,4281.0,215.32,207.57
06609,56581,09830,34420,4291.7,4393.2,214.52,207.09
01469,44038,46628,28687,4381.1,4399.6,214.24,206.56
32938,51467,09018,28778,4361.5,4410.5,214.13,206.36
04555,45164,09863,33699,4314.6,4416.7,213.63,206.42
33811,56768,05578,12479,4315.1,4425.0,213.95,205.71
02907,56784,37965,14085,4396.6,4436.6,218.66,211.53
13362,01644,08669,14240,4211.6,4332.0,219.50,211.49
57631,03175,35560,19541,4252.4,4328.5,219.27,210.98
01754,02397,17117,35911,4294.6,4327.6,218.13,210.77
33393,02171,48138,35537,4290.9,4334.8,218.73,210.67
05163,03915,37406,06854,4205.2,4323.9,217.88,210.23
04909,08526,49485,14382,4215.3,4294.7,218.10,210.00
04603,33617,11341,13461,4201.1,4296.4,217.78,209.91
08598,16696,02775,55600,4171.9,4276.0,222.16,213.67
03209,45178,25130,23305,4380.0,4430.9,221.96,213.78
47880,02264,02415,23811,4293.8,4311.3,220.50,213.15
03797,24353,01881,06709,4291.1,4305.5,219.97,212.20
41115,41256,12375,55557,4251.6,4286.5,222.06,214.64
02759,06426,53289,23952,4252.0,4279.5,222.66,214.63
19470,28895,35560,20599,4416.5,4476.6,219.34,211.79
07702,01974,22569,33999,4242.6,4341.0,219.35,211.82
02536,07569,14512,33911,4240.3,4295.3,219.86,211.87
07702,09409,41212,23968,4242.5,4293.3,222.51,214.88
61778,41601,22584,38965,4180.7,4279.6,221.38,213.47
02022,41176,03255,34013,4387.5,4401.1,219.42,212.11
20962,05234,55832,12523,4165.3,4255.4,220.09,211.81
19505,41748,35954,04719,4149.2,4254.0,219.74,211.89
01961,59151,07332,18667,4417.0,4457.2,221.71,213.68
01963,61727,27296,10399,4290.4,4312.6,220.67,212.80
51976,02936,10335,34041,4227.9,4309.5,220.84,212.92
08585,33063,35481,10490,4170.6,4292.1,220.27,212.90
02251,08660,10461,04829,4233.9,4282.1,220.35,212.37
02504,61518,12349,10486,4331.7,4387.5,220.19,212.64
02279,57434,19505,40201,4358.9,4392.9,223.43,215.98
01711,07701,29193,32514,4256.3,4272.8,224.05,215.68
02535,25123,02430,02427,4243.6,4252.6,221.63,214.03
01784,60608,22914,10477,4391.7,4422.7,221.75,213.77
05163,09201,02429,04601,4204.9,4324.7,221.47,213.59
33812,10833,18822,40577,4208.1,4321.7,224.08,216.15
23826,13649,00987,18557,4207.3,4311.8,221.80,214.08
08583,04478,27682,02511,4196.0,4311.4,222.30,213.97
29207,24330,21796,04477,4301.1,4407.6,221.43,213.05
55560,32262,29193,15745,4325.3,4427.5,223.97,215.94
02266,33076,25641,18653,4237.0,4287.6,222.00,213.94
03661,37020,10335,10461,4387.9,4425.1,220.84,213.67
18241,37666,20792,02679,4171.5,4281.2,221.08,213.47
04911,25113,21560,07369,4159.3,4276.5,222.03,214.68
01770,03207,18726,35038,4248.9,4339.1,222.24,214.12
02774,29042,45217,02526,4312.4,4334.9,221.03,213.16
04572,03149,25129,36927,4232.1,4332.4,221.48,213.23
05314,03796,25776,02623,4209.7,4328.7,220.99,213.19
51209,24097,53412,10363,4227.1,4321.1,221.23,213.23
03977,07809,29828,18621,4266.1,4312.8,222.35,214.49
12659,49231,19360,02805,4324.9,4420.1,222.09,214.27
01278,41068,12897,37047,4423.7,4439.8,221.34,213.29
19980,48368,17107,57090,4406.1,4457.9,224.34,216.77
16739,01020,17126,02541,4249.2,4349.3,222.84,214.89
06937,02247,53538,34879,4231.4,4342.4,222.75,214.71
36616,02906,02683,25114,4260.2,4349.4,221.80,214.35
04835,59169,49277,05310,4204.3,4326.6,220.75,213.38
03406,63498,20876,35035,4390.2,4425.0,222.04,214.69
21023,06962,14628,02487,4187.1,4284.7,222.02,214.13
30001,45225,41209,02535,4336.8,4437.0,221.75,214.11
02006,60166,18819,02797,4434.4,4441.6,222.37,214.08
03192,27151,43100,10429,4400.2,4443.0,222.02,213.84
06641,01913,06576,05366,4234.5,4334.1,221.38,213.57
51718,01214,41212,34935,4258.7,4326.1,222.66,214.72
08613,63265,49373,05295,4202.9,4310.7,221.64,214.11
02727,44040,02523,05339,4359.0,4384.8,221.56,213.81
49445,13106,04563,03310,4153.5,4271.8,222.44,214.90
23055,55307,14530,03318,4363.2,4416.9,223.19,214.98
49397,05026,53285,05363,4249.9,4261.9,221.47,214.12
28167,03902,02430,05355,4310.4,4349.2,221.61,214.19
06427,01750,13059,24914,4224.6,4331.7,223.57,215.17
05314,02773,21251,05369,4211.7,4326.3,222.60,214.95
12692,01528,05473,08986,4204.9,4311.2,223.13,214.75
06428,03974,19360,17054,4200.0,4313.9,222.06,214.16
01783,32970,25281,25155,4376.5,4407.6,223.40,215.57
