confDC0 [-],confDC1 [-],confVDL0 [-],confVDL1 [-],perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps]
28937,16449,17486,00854,6508.8,6587.5,216.07,211.00
28721,16647,17578,41192,6521.8,6593.9,215.94,210.76
04816,08784,12451,09299,6532.9,6590.7,219.34,213.80
41296,00786,33256,62592,6515.4,6607.3,219.78,214.71
17200,20994,20570,54024,6485.5,6582.8,220.78,215.56
24839,04290,12485,44416,6532.9,6612.2,220.92,215.54
04170,17696,04580,35168,6502.0,6586.9,221.38,216.04
61200,05124,08643,49674,6498.0,6611.5,221.09,216.09
24928,24080,15168,24072,6497.8,6584.7,220.93,215.64
13856,08215,00846,18954,6549.8,6614.1,221.25,215.94
07728,35600,00839,37252,6497.6,6566.4,221.18,215.86
41296,04621,40200,35846,6515.0,6604.3,220.75,215.48
04212,02577,03282,20696,6542.9,6608.3,215.15,210.22
65040,01042,08787,09293,6485.5,6591.1,219.06,213.50
17200,20742,23824,38018,6485.3,6574.6,220.20,214.77
16655,04142,04686,19040,6523.5,6599.8,220.58,215.47
29186,47120,31040,18984,6506.1,6580.5,221.02,215.90
09024,12385,15106,07174,6520.4,6595.1,220.78,215.47
28937,25632,24777,05668,6506.1,6584.7,221.22,215.70
61200,05634,08540,54792,6495.1,6606.2,220.77,215.54
33328,08353,31248,39688,6509.6,6587.5,220.74,215.72
24839,16736,00813,27396,6534.1,6610.2,221.46,216.21
12481,41219,31040,06666,6511.3,6575.4,221.02,215.90
65040,35344,24777,22664,6486.5,6594.3,221.20,215.97
20747,08242,20690,39048,6546.0,6619.4,221.04,215.69
24928,31248,45888,40256,6496.8,6584.3,220.98,215.64
24839,12557,04792,40449,6532.4,6607.7,220.95,215.44
33029,16649,50216,19462,6541.4,6620.1,221.20,215.86
00533,37124,38025,41997,6497.4,6568.1,209.40,204.28
20545,00385,10360,41170,6561.3,6631.2,217.16,211.77
05232,41729,04654,15136,6482.4,6567.8,219.60,214.26
61200,43024,63492,44672,6494.3,6610.5,220.37,215.01
04184,24912,45888,49697,6494.9,6575.0,220.90,215.64
24839,27408,02709,54017,6530.4,6606.8,220.78,215.57
37664,33028,06173,51210,6528.7,6611.5,221.09,215.79
00533,27664,00798,42880,6498.0,6572.5,221.50,215.91
10528,04736,37924,12834,6542.7,6632.7,220.86,215.84
12481,12558,59141,17877,6510.0,6576.5,188.88,183.90
16655,00282,33849,01705,6521.0,6595.8,214.63,209.63
28937,07169,33490,59936,6510.0,6574.6,218.67,213.27
04184,04369,49183,09105,6491.4,6569.9,210.64,205.34
04167,06913,01705,12318,6558.4,6623.7,216.98,211.92
05232,43280,08881,35106,6482.4,6557.5,219.32,214.10
56848,20744,16806,04994,6522.5,6625.9,220.75,215.48
20500,24336,04653,49444,6497.2,6569.1,220.87,215.63
56848,20529,52481,22538,6524.5,6625.4,220.74,215.49
08800,33568,17098,33572,6487.9,6565.5,221.03,215.82
33029,25601,16726,19010,6542.9,6614.3,220.86,215.61
17200,04622,49350,08597,6490.0,6574.4,218.96,213.87
07472,08708,12363,15232,6546.6,6630.1,220.24,214.96
