confDC0 [-],confDC1 [-],confVDL0 [-],confVDL1 [-],perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps]
03091,00466,29647,59647,5621.1,5692.3,160.05,154.36
09824,19201,65336,61695,5605.1,5661.0,160.38,154.52
25348,01811,65317,27391,5619.7,5695.8,160.55,154.73
12342,00355,48246,27903,5618.8,5684.9,160.66,154.98
13440,20705,64566,58623,5624.2,5669.8,160.73,155.01
00977,53519,46334,58111,5622.2,5672.6,160.47,154.87
00552,25093,60538,29183,5633.0,5680.6,160.91,155.34
00799,13061,50935,57855,5620.5,5678.4,160.97,155.27
08481,05641,44914,27135,5622.6,5675.3,160.84,155.08
14144,00897,58615,29439,5635.9,5696.1,160.42,154.92
38704,04314,54175,52479,5604.6,5677.8,159.99,154.11
07792,04299,61917,55551,5613.7,5674.0,159.73,154.06
00552,00340,65302,44287,5630.8,5687.9,160.70,154.91
13572,12356,46207,15615,5583.7,5660.7,160.55,154.99
01665,17411,44271,54527,5631.3,5674.8,160.19,154.33
01826,27936,65504,47359,5613.1,5669.0,160.45,154.43
01665,12434,52477,26367,5632.8,5683.6,161.12,155.38
03137,37280,65474,45567,5622.6,5676.9,161.18,155.32
09987,09568,40183,60668,5605.7,5669.2,160.73,155.07
00330,06147,60778,26111,5639.5,5682.4,161.36,155.82
03137,04255,64611,25599,5620.3,5678.9,161.25,155.53
07792,62210,12029,31993,5613.4,5667.7,161.25,155.45
49668,39456,42747,60661,5612.9,5671.5,160.66,155.03
05824,18945,65302,50687,5631.7,5687.9,160.59,155.01
02881,49423,23517,19967,5638.6,5688.5,160.43,154.77
00799,04269,07167,23807,5619.2,5684.7,159.82,154.30
00610,08323,64566,14847,5626.0,5683.8,160.82,155.21
03091,04343,31799,55535,5620.1,5682.2,162.06,156.27
01233,13888,60526,60665,5610.9,5654.8,160.95,155.32
36128,01556,28518,31965,5628.2,5699.1,161.45,155.83
11328,35872,65350,60653,5602.6,5663.8,160.46,154.77
14144,00312,29647,20223,5632.0,5700.6,160.01,154.45
09987,02113,52463,60605,5605.1,5682.5,160.77,155.05
00389,04283,54894,51951,5646.8,5695.5,162.29,156.58
00315,16413,23515,51711,5646.6,5705.2,160.06,154.53
07040,05536,61034,42751,5662.4,5708.8,160.88,155.40
23297,31520,44778,60637,5611.1,5675.0,161.51,155.79
00552,14896,42747,12031,5633.6,5687.6,160.73,155.23
08341,29504,56437,23279,5629.9,5683.8,162.29,156.55
29520,33200,28134,55543,5600.6,5670.4,162.27,156.62
28448,04223,36223,60153,5619.2,5691.1,160.90,155.24
07056,47392,16179,55550,5616.1,5660.1,162.55,156.62
10498,12944,44659,60666,5640.9,5697.2,161.00,155.31
09392,20516,61027,31989,5636.2,5691.1,160.97,155.09
00451,25040,10237,53999,5615.2,5666.8,162.42,156.64
06915,05390,60519,11263,5623.5,5691.4,161.16,155.34
17412,57614,46454,10239,5587.2,5658.3,161.83,156.00
08032,59137,40175,59893,5632.2,5693.3,161.05,155.26
05824,12814,61044,31996,5633.1,5688.8,160.81,155.08
08253,04268,52539,52463,5645.4,5715.0,162.58,156.87
01826,30256,40622,51959,5614.1,5673.4,162.46,156.86
00552,61709,16167,55487,5631.7,5689.2,162.51,156.70
29312,58114,64684,23791,5625.4,5675.3,162.53,156.71
00977,08264,48238,60541,5622.5,5672.5,161.18,155.60
03091,33600,44730,28029,5623.9,5674.8,161.63,156.09
29520,05552,39671,23287,5601.2,5673.1,162.54,156.74
16910,57409,52666,51903,5586.6,5667.6,162.73,156.91
03137,16906,44883,51966,5623.9,5677.6,162.66,156.88
12342,08970,26303,28381,5621.2,5688.5,161.54,156.01
00799,63233,60974,63709,5622.2,5681.1,161.02,155.38
13063,25024,46840,51695,5629.6,5695.0,162.70,156.91
01813,22785,18367,23231,5594.4,5651.6,162.82,156.89
11072,08246,65441,58876,5637.3,5710.7,161.44,155.57
30721,00310,60856,55547,5606.0,5673.2,162.76,156.91
12334,28696,44914,36351,5633.4,5706.8,160.89,154.91
05824,57613,40615,23294,5631.7,5692.6,162.64,156.79
09616,61710,60750,39678,5609.7,5654.6,162.64,156.70
09392,08912,20346,40175,5633.9,5696.1,162.76,156.74
11072,01153,46647,28125,5635.6,5707.2,161.90,156.32
13317,02865,53232,39671,5594.8,5670.3,162.59,156.74
08419,53632,64226,54511,5653.2,5699.1,162.67,156.88
08404,13408,48183,58869,5586.6,5645.2,161.41,155.78
17157,01857,44410,26613,5638.1,5715.7,161.49,155.98
25097,05639,60660,13823,5589.2,5659.1,161.48,155.66
08419,04254,60447,39407,5656.0,5704.4,162.74,156.69
32913,12815,44647,28412,5595.7,5646.6,160.96,155.27
08032,43296,59583,39663,5634.4,5689.3,162.06,156.41
41089,25858,65413,54014,5601.4,5646.8,162.87,156.92
00961,09222,48429,20207,5657.9,5700.4,162.97,157.04
08268,46384,63160,50927,5631.4,5691.5,162.99,157.14
40994,02609,64566,22015,5659.4,5716.0,160.92,155.07
05898,16414,59190,28153,5591.5,5661.9,161.53,155.91
10576,06512,55535,53951,5651.3,5710.1,162.93,157.04
09616,28817,60211,36591,5610.6,5652.6,163.06,156.96
12334,37890,56437,30173,5636.4,5698.0,162.30,156.42
37137,29760,64583,26589,5582.9,5647.9,162.51,156.57
