confDC0 [-],confDC1 [-],confVDL0 [-],confVDL1 [-],perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps]
21270,01660,50469,64132,3523.0,3581.7,192.22,182.49
16712,48816,08711,17541,3493.5,3564.8,230.87,221.54
60384,04569,21636,33542,3524.0,3586.8,225.19,216.01
03768,21018,09251,06848,3522.4,3576.6,225.12,215.69
12898,41113,51224,54792,3506.9,3570.8,225.13,215.50
45212,03944,37416,46464,3532.1,3578.7,224.88,215.32
53387,02037,41664,19462,3524.4,3579.0,225.06,215.75
05176,03916,57356,18954,3515.3,3570.8,225.26,215.87
51974,02470,35170,24795,3489.6,3580.4,206.82,197.25
01771,45209,04930,58120,3502.7,3564.4,226.91,217.58
03468,04538,01857,37216,3519.1,3583.0,225.02,215.88
49365,02217,12592,38980,3523.0,3586.1,224.94,216.06
12604,19727,37416,28706,3505.4,3570.4,224.92,215.60
04686,06577,33569,35457,3506.3,3576.3,225.75,216.12
03213,01679,13448,06532,3524.2,3579.1,225.13,215.90
01741,04567,09264,16626,3511.7,3576.1,240.95,230.86
02415,29297,03091,35120,3512.9,3572.4,226.79,217.68
23566,29026,53288,23872,3503.5,3572.3,224.90,215.67
25115,01900,54032,08501,3517.5,3584.6,222.19,213.23
05730,61589,01795,53440,3512.9,3573.5,224.68,215.47
53354,48800,12806,10786,3513.2,3576.6,225.17,215.89
07450,02472,25729,35168,3531.5,3587.3,224.86,215.79
05204,01006,21509,14496,3509.4,3569.1,225.06,215.75
47137,05282,41236,51008,3505.8,3574.7,225.43,215.90
16694,02934,32823,41744,3513.1,3574.9,241.59,232.28
03286,50977,34016,49540,3509.9,3567.8,225.41,215.99
04933,08049,37444,34310,3520.8,3582.8,225.45,216.19
21270,02143,03713,05668,3521.3,3582.7,224.96,215.93
05166,37157,37409,30980,3504.5,3565.7,225.13,215.69
51974,30001,26648,20288,3488.8,3580.6,225.25,216.18
36989,47600,33834,39041,3510.9,3574.9,224.66,215.55
02428,02712,41537,18694,3532.4,3594.1,224.82,215.73
02924,30988,03337,52488,3496.1,3559.2,225.43,216.23
29345,26638,41496,19492,3517.5,3581.5,224.94,215.54
06685,41144,13321,40449,3508.3,3573.1,224.75,215.34
03213,17249,22561,28832,3529.5,3583.1,225.36,215.99
07706,59656,51224,47680,3491.7,3550.4,225.31,215.85
03179,49230,01253,00718,3533.7,3602.8,238.74,230.00
16694,61732,21010,49537,3514.4,3581.7,226.18,217.04
13590,57480,04912,49856,3511.3,3582.8,226.05,216.02
13091,49317,12806,24072,3510.8,3577.2,225.20,215.83
39186,28924,10626,12836,3501.2,3572.9,226.15,216.83
07703,02215,21696,43042,3526.7,3587.0,224.69,215.20
36989,05714,09260,49800,3512.1,3574.0,225.73,216.35
02039,47584,17456,01175,3505.4,3569.1,242.39,232.60
