confDC0 [-],confDC1 [-],confVDL0 [-],confVDL1 [-],perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps]
55536,06993,48256,08618,3771.5,3836.7,219.86,210.99
03733,08735,08906,17618,3776.7,3834.2,219.77,210.62
21313,01226,08491,05177,3783.8,3837.5,219.94,210.66
01679,17427,14144,24675,3770.5,3824.8,219.50,210.79
39174,29105,37922,33081,3771.7,3830.8,219.80,211.03
33055,01431,34400,16841,3789.2,3845.0,219.63,210.95
29459,42766,24726,08747,3763.3,3824.6,219.84,210.73
37077,23488,12363,10437,3778.6,3842.5,220.36,211.08
04475,41036,50960,41014,3781.1,3836.2,219.70,210.84
29010,19719,40196,16726,3761.4,3829.1,219.71,210.87
03389,61525,18459,33948,3786.6,3843.6,220.14,210.92
09809,04489,33309,01388,3776.8,3836.0,219.92,210.69
04523,24069,40196,17494,3760.8,3826.6,219.65,210.84
12754,03897,24651,01690,3781.4,3845.2,220.02,210.71
41245,28871,37059,08929,3766.7,3836.4,219.89,211.06
55536,23504,12520,33236,3774.0,3837.6,219.69,210.83
41409,37265,31752,10255,3776.6,3844.2,220.11,210.91
22797,01673,02587,33180,3782.1,3835.8,219.84,210.76
52896,08504,06167,33941,3780.9,3833.2,219.96,210.70
03176,45299,08846,41140,3777.0,3843.8,220.05,210.83
01452,06001,20531,10318,3762.3,3833.6,219.84,210.70
64672,51360,20519,16715,3784.4,3834.9,219.78,210.66
33249,04455,19552,12303,3769.0,3837.6,219.89,211.04
59376,01150,12513,16144,3780.6,3836.1,219.91,210.79
57875,51840,06309,16794,3770.1,3836.6,220.00,210.70
36816,62001,08508,24682,3766.9,3831.3,219.79,210.80
53554,53396,33309,16787,3775.8,3846.2,219.93,210.75
02741,01374,33419,00791,3771.4,3832.2,220.18,211.04
60945,01671,20600,01460,3779.0,3840.5,220.02,210.81
01644,20702,06354,10311,3768.1,3835.9,219.67,210.74
37151,12823,20600,01622,3755.2,3827.1,219.95,210.83
15885,17473,49181,02649,3777.4,3841.4,220.15,211.26
08988,20717,08839,24754,3789.3,3844.8,220.21,210.93
01452,01688,18447,17562,3761.0,3829.8,219.98,210.69
03900,04443,33309,01325,3770.3,3832.8,219.97,210.80
41141,39104,08526,16925,3769.4,3831.4,220.30,211.35
03645,52227,20660,33369,3752.5,3815.0,220.40,211.52
32208,02137,33309,33912,3811.3,3869.9,219.87,210.66
24797,04661,02755,17555,3791.8,3848.7,219.78,210.59
01644,55051,06167,08936,3770.1,3834.8,219.84,210.81
02472,45117,10441,04435,3776.2,3837.6,220.07,210.75
41141,41077,02729,33173,3767.6,3832.6,220.01,210.71
13333,37108,04716,10354,3780.1,3839.4,219.77,211.01
03540,14862,31296,00798,3766.1,3831.4,220.26,211.09
02005,24496,33069,17468,3791.4,3842.3,219.63,210.58
03176,49331,37381,65433,3777.6,3844.6,227.37,217.87
41141,01196,44289,12359,3768.5,3829.1,219.80,210.78
04083,46816,20600,24801,3775.9,3834.2,219.91,211.08
02217,28814,20593,41099,3782.0,3841.6,220.29,211.21
09809,24809,24771,00969,3775.1,3837.3,220.20,210.81
31494,35056,06309,16700,3762.7,3827.1,219.96,210.61
57875,05912,04728,03155,3770.4,3837.6,219.82,210.77
02741,15117,33222,03162,3774.9,3836.6,219.53,210.73
61620,04517,49361,01419,3777.0,3839.6,219.82,210.60
01913,38896,08491,08882,3763.9,3832.1,219.97,210.99
03134,02995,14096,09379,3779.4,3848.5,220.10,210.82
03900,06932,59908,01589,3767.6,3831.7,219.87,210.56
52896,46832,33107,17461,3777.2,3835.2,219.68,210.48
21313,02197,08611,03099,3783.2,3846.0,220.01,210.91
03900,02547,02334,16663,3766.2,3828.4,220.35,211.19
29745,05403,08781,10291,3767.6,3835.7,220.25,211.02
07970,39120,26372,00854,3761.1,3829.2,219.98,211.11
31749,03910,12498,41155,3778.1,3842.6,219.80,211.01
43984,02661,20593,41005,3775.4,3836.7,220.13,210.94
61526,15627,61954,08611,3760.9,3830.1,220.13,210.80
01452,38880,24651,17049,3762.8,3833.4,219.82,210.99
02215,04901,16949,36953,3783.7,3848.5,219.74,210.86
