confDC0 [-],confDC1 [-],confVDL0 [-],confVDL1 [-],perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps]
05826,35851,37280,45828,3296.6,3357.4,226.40,215.96
50497,20835,39042,56321,3292.7,3365.4,225.42,215.40
22849,16994,02391,59552,3291.3,3360.8,211.45,201.07
25394,28171,18947,40256,3284.9,3352.9,225.86,215.91
04952,04575,22531,12960,3303.8,3367.4,226.50,216.33
12129,03933,14348,05668,3283.8,3345.3,226.00,215.93
03695,07409,03142,63552,3304.5,3359.8,225.91,215.89
52231,62228,35096,01826,3268.3,3353.2,226.31,215.96
13603,63777,45200,38980,3286.6,3354.4,226.19,216.06
32991,28427,41346,47364,3294.7,3351.5,225.82,215.84
20884,26177,17450,20868,3302.1,3363.8,226.62,216.02
03050,22036,08447,50182,3301.6,3360.8,226.10,215.76
12883,37083,03154,30080,3289.3,3353.3,225.95,215.64
02526,51745,01271,35105,3294.8,3354.7,226.06,216.20
07711,02970,45061,62468,3313.2,3363.3,226.03,215.99
14102,33316,41408,43168,3293.6,3352.2,226.27,215.85
05179,49793,17035,24773,3294.6,3355.6,221.81,211.82
02556,11857,33876,33542,3297.7,3359.0,226.18,215.95
03964,05177,08447,14208,3300.8,3363.0,225.96,215.98
32991,09754,22596,20742,3292.5,3354.2,225.76,215.68
15891,02490,28675,02287,3304.6,3349.3,226.37,216.43
03546,02282,18756,49856,3295.1,3354.3,226.33,216.05
15185,03030,49441,28706,3285.5,3343.5,225.67,215.67
02541,02236,20772,05506,3291.2,3348.7,226.35,216.28
08606,04711,06676,62016,3297.7,3356.9,226.14,216.00
32991,03528,03248,51008,3293.6,3340.9,226.42,216.11
05826,04934,09028,06848,3298.3,3353.8,226.14,215.95
50210,62483,05218,53384,3288.4,3351.9,226.29,215.80
02750,57024,12820,24072,3303.6,3356.2,225.96,215.97
49276,08788,02976,35520,3301.0,3362.7,226.09,216.05
20899,01951,25160,35168,3303.4,3354.3,225.81,216.07
