confDC0 [-],confDC1 [-],confVDL0 [-],confVDL1 [-],perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps]
29720,02809,07304,09096,3925.4,3951.9,244.16,234.97
11393,49324,38948,41608,3945.6,4048.0,243.44,235.37
37166,33697,35017,06173,3808.2,3927.3,243.95,235.36
03003,61564,43042,49704,4040.3,4063.4,244.47,235.18
04731,09554,06165,52488,3830.3,3890.7,246.80,238.15
49341,12853,17072,17698,3871.8,3874.3,244.06,234.98
08696,02762,41250,06260,3885.3,3988.6,243.99,234.72
03454,02732,59652,09796,3977.5,3984.5,244.27,235.27
14193,59185,33946,41284,3894.8,3978.1,244.31,235.42
03799,53405,35017,06328,4071.0,4081.0,244.00,235.21
08606,34579,18532,52496,3861.5,3955.9,246.21,238.03
16729,37985,06465,26630,3847.2,3958.8,244.46,235.65
56076,19025,33054,49760,3897.0,3950.0,244.66,235.62
09394,12844,03458,62496,3802.5,3916.3,245.60,237.26
21031,45634,00929,46352,3820.6,3914.5,246.51,237.47
09554,03047,37256,54532,3953.6,3994.2,247.00,237.73
53795,02718,10561,36624,3924.9,3989.9,246.57,237.89
48914,33266,07173,09731,3876.3,3971.1,243.15,234.65
29075,53666,09512,24928,3881.4,3966.6,243.75,235.00
03455,10913,26690,49428,3953.8,3965.8,243.80,235.43
12053,30227,51329,49420,3860.6,3956.2,244.30,235.71
15185,20852,49793,49476,3907.0,3933.6,244.70,236.08
54145,07250,41264,38660,3820.4,3921.1,246.47,237.40
04822,03934,06284,54848,3865.6,3978.5,246.74,237.53
05191,54113,02722,38720,3912.8,3958.8,247.47,238.63
27441,57592,01626,06187,3967.9,4066.2,243.34,234.68
11288,12649,18016,25153,3824.6,3946.2,243.49,235.22
03438,57590,33989,12810,4074.4,4088.8,243.85,234.72
56839,13593,04881,57384,3894.3,3922.0,243.79,235.41
12683,49690,06673,57480,3816.0,3924.1,244.20,235.62
22097,45261,17161,57440,4002.3,4104.7,244.41,235.24
20811,05027,25156,07938,3805.7,3911.6,245.21,236.75
56082,02747,33369,61953,3953.2,3991.4,246.43,237.37
02751,02973,50209,09538,3949.3,3967.3,243.00,234.56
51505,47665,24852,49411,3854.2,3965.2,243.94,235.23
17689,36401,49444,25105,3926.1,3961.7,243.87,234.71
49370,37617,10792,17940,3950.9,3958.5,243.78,235.20
64775,11649,34887,09740,3922.1,3959.7,243.93,234.95
03049,64777,05638,49796,4042.0,4074.8,244.19,235.48
08002,57487,61968,06264,4026.2,4072.8,243.83,235.54
05523,29490,04745,48130,3804.7,3917.3,245.40,236.93
08695,04922,34970,06291,3824.4,3909.2,243.70,234.67
08557,40716,12820,09056,3969.6,4075.1,243.86,234.94
08679,09755,33908,17296,3854.0,3940.8,244.10,235.17
62289,59917,35020,12040,3992.1,4091.0,245.26,236.48
14705,17809,17041,52768,3826.7,3923.9,245.84,237.43
29467,53572,01888,52800,3824.1,3911.8,246.69,237.93
49386,06754,34922,17674,3908.9,3910.5,243.15,234.45
05675,02523,08963,12818,3864.2,3982.7,243.35,234.90
13849,04009,35017,06339,3873.3,3967.6,244.06,235.37
33559,63281,49187,36612,3927.6,3961.7,246.71,237.60
29973,59697,33357,46340,3876.1,3959.1,245.93,237.16
04808,12647,50209,42050,3880.1,3957.4,243.33,235.14
39949,45365,30752,09104,3890.7,3951.6,243.56,234.72
64519,08605,01626,50186,3906.1,3950.6,243.42,234.85
04938,45953,02652,09602,3880.5,3945.1,243.87,234.77
01998,39950,33433,24976,4068.0,4079.0,243.86,235.20
03004,02927,17158,17200,3980.4,4002.7,243.73,234.95
38420,03437,24898,17284,3882.1,3976.7,243.44,234.95
33562,33905,50210,34322,3852.9,3950.3,243.53,234.62
16773,52743,34922,09000,3968.0,4080.4,243.30,234.49
06770,21275,10628,57392,3882.2,3925.1,243.91,235.34
41087,37087,05776,41236,4097.2,4104.9,244.09,235.26
58049,13138,45074,29441,3826.5,3916.6,245.97,236.98
04927,21030,17930,59776,3784.4,3897.3,246.04,237.81
49691,01519,43138,52096,3888.0,3976.5,246.79,238.10
15441,04023,41602,52484,3880.9,3973.6,246.88,238.26
08883,02285,16678,01810,3844.6,3962.0,243.17,234.12
16717,03498,18016,41228,3851.9,3956.5,243.04,235.12
04925,03196,33989,06252,3841.4,3956.5,243.65,234.81
11288,36657,35488,20232,3827.6,3946.9,245.42,237.08
25622,60173,33569,54816,3989.5,4085.3,246.01,237.04
48650,58133,04394,33666,3866.9,3910.8,243.58,234.45
16774,03994,26376,17248,3860.8,3965.9,244.12,235.23
04925,03033,10401,34370,3841.1,3956.7,243.56,235.30
33559,03725,41249,49700,3931.2,3955.8,243.33,235.16
03049,32525,35017,57488,4042.4,4075.9,243.76,235.43
03802,18545,49712,28288,3910.6,3933.7,245.59,237.21
04732,45595,51296,61824,3801.2,3924.2,245.90,237.55
03772,06949,34024,06227,3886.9,3899.5,242.97,234.36
10193,06306,33906,03237,3875.2,3896.2,243.18,234.76
