confDC0 [-],confDC1 [-],confVDL0 [-],confVDL1 [-],perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps]
15296,56176,08329,08385,3927.2,3990.8,226.72,218.41
02629,46090,16466,00360,3938.4,3986.9,226.85,218.45
49251,04961,01185,32930,3929.9,3989.4,226.92,218.66
03881,30368,33600,08326,3938.3,3992.2,225.21,216.14
24323,12574,32839,16426,3931.2,3992.9,224.39,216.30
35472,28949,32876,08234,3929.3,3992.0,224.52,216.43
16145,46736,04292,00562,3934.4,3994.8,224.68,216.26
03923,58336,32843,48640,3930.3,3985.9,225.02,216.23
27140,04817,16405,00658,3929.4,3992.3,225.65,216.48
45103,40816,23296,14337,3924.3,3986.8,225.01,216.16
03381,05201,32876,08242,3936.0,3990.8,224.42,216.33
27776,37201,16428,00706,3915.2,3988.4,224.51,216.46
42769,61482,35344,16578,3924.8,3988.4,224.75,216.26
02629,20572,16484,00610,3931.8,3986.2,224.72,216.23
11022,28868,32843,08338,3918.1,3984.3,224.92,216.17
11275,42247,32980,00554,3917.1,3982.1,225.06,216.45
55184,02530,32888,00650,3929.8,4000.7,224.77,216.56
62981,39172,32828,16422,3917.5,3990.5,223.98,215.93
01129,45112,16496,16482,3936.4,3993.2,225.19,216.30
45103,14348,16496,16522,3921.9,3986.9,225.13,215.84
02105,50185,16496,16518,3932.9,3986.8,225.11,216.00
24067,12256,32888,08266,3931.3,3993.3,224.82,216.03
27536,02754,35336,06657,3923.0,4000.0,224.90,215.85
01507,01412,34312,16530,3937.4,3999.8,225.49,216.23
20651,00855,34312,00646,3941.7,4002.3,225.55,216.24
62981,12865,35336,00550,3918.5,3988.8,224.80,216.27
42769,33806,04163,16466,3925.7,3991.3,224.23,216.03
32916,50449,04163,00582,3925.6,3986.9,224.21,216.01
61761,01605,33544,63744,3933.9,3996.2,224.59,216.01
00906,20112,32888,38976,3942.3,3994.4,224.77,215.88
00906,01583,04289,64000,3940.1,3998.0,223.67,215.28
50189,56416,32969,00526,3925.9,3987.6,224.56,216.18
45103,11274,16522,08330,3925.0,3985.5,224.75,216.68
02105,54912,08230,16412,3932.3,3986.3,225.00,216.70
23216,16675,16440,00270,3927.4,3992.4,225.08,216.78
01176,01188,04165,16468,3936.1,3992.7,225.09,216.72
62729,20693,23296,08259,3911.4,3984.4,225.14,217.09
01460,50440,58624,01248,3935.9,3990.8,229.60,221.12
01460,03113,00360,04138,3933.9,3983.0,230.06,221.11
42769,30225,02067,04146,3926.1,3986.1,230.01,221.23
42769,11022,00568,04290,3924.8,3982.8,230.54,221.60
58633,03907,32978,16458,3919.4,3982.8,224.16,215.83
02164,26376,16391,00538,3929.5,3982.7,224.34,216.05
