confDC0 [-],confDC1 [-],confVDL0 [-],confVDL1 [-],perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps]
42176,11504,16484,02111,4088.9,4151.7,223.48,215.06
58544,45250,01031,08438,4083.2,4149.1,224.66,216.20
02360,42624,01218,02300,4086.7,4148.3,224.89,216.17
02603,22281,32961,04348,4093.2,4152.2,224.51,215.96
01353,35936,16466,02270,4088.5,4143.9,223.76,215.05
42192,04639,16481,04221,4082.8,4145.4,223.35,214.82
17185,11984,01097,04315,4087.0,4151.1,224.56,216.33
17185,28256,16391,16621,4086.5,4151.9,223.92,215.48
01113,32258,16406,04311,4093.8,4151.7,223.35,215.73
04961,38544,16434,04285,4082.6,4147.7,224.67,216.14
00760,24681,16484,02143,4110.7,4161.2,223.41,215.44
16256,29963,39680,16591,4088.3,4155.2,223.15,214.28
22281,03380,16425,04333,4088.8,4162.6,224.26,215.57
00933,41154,16488,02255,4088.9,4153.1,224.27,215.99
17185,09009,01157,04219,4086.7,4151.3,223.22,214.31
42624,08725,01073,02237,4082.9,4143.3,224.84,215.97
16492,53553,32932,00499,4077.7,4140.3,224.96,216.09
00729,50576,32905,32886,4096.4,4158.0,224.70,215.80
28758,16000,16395,00487,4094.1,4158.7,224.65,215.99
01353,46353,16422,08367,4088.9,4149.0,224.76,216.03
54448,20678,16433,04346,4114.7,4181.9,222.70,214.54
01923,02722,47616,02159,4093.6,4156.9,223.17,214.60
47984,32867,01108,63232,4091.6,4159.3,223.58,214.75
04961,01101,16608,04334,4082.2,4151.0,222.98,214.42
03396,15121,16518,16629,4080.0,4143.8,222.93,214.36
