confDC0 [-],confDC1 [-],confVDL0 [-],confVDL1 [-],perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps]
27682,08653,03206,35168,2941.3,3012.4,227.18,215.84
25076,03534,12992,18954,2938.3,3003.7,226.81,216.07
34582,13853,10505,19080,2946.2,3011.5,227.63,216.44
34329,07210,09297,52744,2937.8,3005.0,227.29,215.89
12764,05270,25093,19492,2948.5,3009.7,226.71,215.76
06218,05462,01801,18694,2944.3,3006.3,226.73,215.88
06485,48945,33832,11777,2936.2,3000.9,241.97,230.48
07508,11300,20776,50182,2945.1,3005.7,227.23,215.84
25076,43027,51329,20742,2938.2,3001.1,227.05,215.33
13620,04015,21002,49540,2945.3,3003.7,227.11,216.05
24952,05108,57473,40256,2946.9,3009.7,227.01,215.75
09287,45666,03141,37505,2933.2,2995.0,227.38,215.98
38680,03038,04904,37216,2949.3,3011.2,227.09,215.79
36116,55060,02881,03620,2935.9,2999.4,227.29,215.93
57582,05212,37192,26496,2945.0,3009.1,227.26,216.13
37417,05571,37388,19010,2938.1,3003.0,226.89,215.38
28180,53797,06668,23872,2936.2,2999.2,227.26,215.84
53503,50065,53392,49667,2948.7,3008.6,227.26,215.69
17951,13354,37140,39041,2944.3,3008.0,227.00,215.55
25892,34073,09412,43168,2936.4,3001.1,227.50,215.93
50709,06484,02946,18947,2942.2,3001.8,227.25,215.74
41395,33729,06472,27396,2945.1,3007.8,227.65,216.32
07237,04075,17505,35078,2942.6,3001.7,227.08,215.55
22082,11811,05155,49674,2941.3,3004.2,227.15,216.07
20857,62034,06668,35331,2940.2,3004.2,227.11,215.57
20829,22161,17445,63552,2942.1,3006.0,227.52,215.62
16825,06850,53392,42880,2942.1,3001.5,227.26,216.04
50709,17460,33926,51210,2944.3,3000.2,226.83,215.45
05455,03519,03141,03488,2947.3,3011.5,227.46,216.12
13682,17219,24962,53384,2932.8,2996.9,227.19,215.94
15383,52239,01921,06532,2922.3,2982.9,227.33,215.89
20097,18321,53253,62468,2970.0,3029.4,227.28,216.09
07237,53500,28684,51392,2943.0,3003.5,227.13,215.72
54641,60465,01633,39688,2935.1,3002.5,226.94,215.65
06067,33082,25024,19136,2948.4,3007.0,227.53,216.08
19857,04999,49204,30209,2953.7,3009.8,228.93,217.64
25132,41889,03091,40449,2938.4,3001.7,227.16,215.64
