confDC0 [-],confDC1 [-],confVDL0 [-],confVDL1 [-],perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps]
37043,14854,01162,04331,3919.0,3985.7,225.26,216.06
18950,04645,01106,02283,3914.0,3982.8,225.15,216.17
24726,20652,01218,02263,3931.3,4016.2,224.92,216.08
03141,16574,32856,02173,3932.4,4022.3,225.36,216.11
06419,17426,01162,08311,3920.0,3995.1,225.18,216.10
02149,45101,32796,00375,3918.9,3991.9,224.45,216.33
00863,22284,32820,02300,3916.0,3996.0,224.92,216.22
43392,19985,01121,08438,3918.6,3991.1,224.65,216.36
03668,21057,32837,04318,3908.2,3983.1,224.59,215.85
26320,18896,32793,02293,3918.0,3988.4,224.79,216.26
37043,53317,32790,04303,3919.9,3988.0,225.39,216.37
08729,04499,01100,48896,3912.2,3985.2,223.83,215.59
18950,08849,01073,16591,3908.2,3982.1,224.64,215.52
38816,26124,32849,00502,3909.6,3987.0,224.69,216.39
42656,00717,32852,04341,3929.6,3995.0,224.55,216.10
49442,08488,16451,04311,3907.8,3980.0,224.41,215.68
02863,58897,16440,16509,3910.1,3980.0,223.66,215.06
00733,57619,32837,08315,3907.9,3978.0,225.10,216.61
00718,58576,01046,08382,3916.6,3984.8,224.72,216.62
15624,62656,01218,64768,3916.0,3989.0,225.01,215.88
26378,39040,01073,04285,3920.0,3988.3,224.54,216.35
03883,46304,16546,08375,3915.6,3979.5,224.54,216.68
38159,22533,32944,04315,3909.6,3983.1,224.90,216.45
16916,18880,01080,08423,3918.1,3991.3,225.00,216.76
00997,16032,01155,04333,3924.4,3991.6,224.60,216.58
03826,00701,01052,02286,3932.7,3999.6,223.47,215.48
57184,01340,01161,16603,3939.9,3998.9,223.66,215.24
42760,00861,01200,16573,3916.0,3989.2,223.38,215.27
03187,02133,16403,04191,3924.6,3990.4,223.06,215.12
20589,28825,01224,02238,3920.1,3985.5,223.35,215.03
02863,24945,01080,00499,3910.1,3977.3,224.99,215.97
02617,57386,01124,00494,3911.8,3981.4,224.80,215.67
18442,02360,01185,32886,3914.4,3987.0,224.71,215.64
15624,02900,16484,00382,3916.6,3988.1,223.51,214.94
03683,22944,16395,08379,3921.4,3990.4,224.86,216.00
42656,41005,01106,08407,3923.5,3993.7,225.13,215.88
02134,54537,01073,08367,3914.6,3984.5,224.96,215.86
