confDC0 [-],confDC1 [-],confVDL0 [-],confVDL1 [-],perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps]
02959,02221,05782,20162,4133.6,4151.0,213.25,205.58
01996,62769,42247,29408,4132.5,4141.3,214.03,205.28
44321,24082,45195,27240,4027.4,4127.7,212.93,205.33
49689,21601,62504,20042,4020.1,4122.1,213.62,204.83
20868,08751,62000,29794,4030.8,4101.7,212.90,204.67
05177,13122,19651,42404,3980.3,4093.2,213.10,205.07
05417,40457,11444,21259,4114.6,4234.3,213.32,204.44
08539,48646,37103,45579,4148.1,4251.4,212.58,204.55
37908,41162,58424,25171,4159.1,4272.8,212.36,204.11
40710,57056,21322,08695,4231.5,4274.5,211.01,202.95
31503,02701,34087,22884,4125.6,4155.5,216.88,208.64
62242,12755,03325,14723,4040.5,4156.4,215.77,208.09
61189,02668,43155,11665,4129.6,4160.9,216.48,208.33
24916,03211,05709,38441,4036.2,4134.7,216.03,207.87
03544,57969,51341,11561,4107.6,4138.7,216.08,208.37
04700,28981,10612,09704,4004.7,4129.5,215.00,207.43
02940,03992,42352,28764,4115.3,4129.5,215.21,207.00
01759,18513,19146,17724,4104.2,4113.6,214.92,206.86
43057,18466,29972,41641,3975.6,4085.6,214.96,206.81
02026,48417,41420,40100,4142.2,4148.6,219.65,210.82
02254,38705,35430,39217,4108.9,4140.4,219.29,210.50
21526,02414,42182,15457,4086.3,4169.8,218.95,210.29
24079,08601,38989,19169,4107.4,4130.6,218.35,210.21
10009,27666,20774,02917,4049.0,4126.8,218.39,209.87
31757,25297,10830,43085,4043.1,4130.7,218.08,209.83
17585,43538,09550,45253,4038.1,4123.7,217.86,209.44
03047,09778,33708,35298,4111.1,4112.2,217.77,209.61
03320,18707,01759,13492,4084.8,4113.3,217.29,209.36
55562,01499,02750,20384,4117.4,4173.9,220.72,212.25
20868,53634,41147,43809,4029.6,4138.2,220.51,212.12
42801,22593,12335,14540,4036.8,4117.4,219.51,211.41
21043,05298,35434,22603,3976.0,4092.4,220.11,211.29
51489,49352,49753,06834,4129.5,4242.0,219.69,210.93
16787,36108,35610,11369,4153.9,4243.5,218.52,211.04
12604,53417,50262,05801,4152.2,4246.6,219.29,210.73
35340,65285,12467,49339,4161.6,4247.0,217.68,210.06
03288,57573,52485,16877,4154.8,4259.4,218.63,209.95
01996,03797,35411,47396,4126.2,4135.1,221.36,213.24
13521,62065,26913,15109,4045.2,4127.2,221.02,213.11
08751,08661,20755,15912,4073.5,4120.7,221.43,213.01
02927,33068,41999,01755,4102.8,4115.5,218.88,210.33
08590,04918,06259,40212,3969.1,4071.4,222.27,214.35
16787,61622,06251,63505,4155.5,4240.9,222.76,214.03
31503,02505,19106,06453,4126.6,4151.8,221.10,213.28
32522,11857,08799,07191,4123.5,4149.5,221.28,212.74
03469,01484,28685,07334,4124.2,4154.7,221.18,212.59
61594,57698,04905,55557,4129.9,4140.3,222.70,214.60
41749,13249,02812,40496,4046.4,4137.6,222.48,214.32
09697,63506,01405,47520,4041.8,4117.8,221.95,214.17
16935,29220,04902,06601,3942.8,4061.9,221.84,213.57
02956,55311,22052,06505,4231.3,4261.7,221.99,213.59
25329,02536,27040,33911,4064.7,4147.4,220.44,211.77
18513,63250,08627,39697,4022.3,4134.7,222.58,214.51
61736,06195,21546,20603,3986.0,4100.9,220.49,212.06
02778,17940,12712,20732,4061.9,4084.7,220.20,212.06
49793,41193,55620,12507,4158.2,4268.0,219.30,211.67
08600,39695,17880,51617,4156.0,4272.8,215.96,208.58
02011,03466,02932,03881,4134.9,4142.3,217.31,208.67
47882,30513,17880,58208,4088.9,4145.0,216.12,208.26
44321,35858,50317,14627,4025.8,4126.2,216.66,207.94
02255,61736,34604,21801,4093.5,4122.9,215.96,208.01
03182,06430,23308,15498,4111.6,4120.0,216.25,207.90
02539,29716,12035,15410,4041.9,4089.7,216.17,207.86
29553,06948,10858,41381,3998.6,4079.4,215.29,207.28
08553,32973,37234,49465,4149.0,4252.6,214.85,207.47
47393,45213,49880,62144,4159.9,4273.1,219.44,210.46
16713,02760,35069,45872,4033.7,4150.4,218.95,210.28
25329,08599,49624,51380,4064.8,4149.4,218.64,209.94
02987,24878,50385,45169,4089.8,4150.7,217.44,209.59
41330,02519,42570,02905,4083.1,4176.7,218.61,209.89
50001,59410,09803,05671,4039.6,4133.9,217.12,208.98
22292,62228,45968,05659,4020.3,4106.1,217.09,208.76
04604,27917,09031,08670,4170.4,4258.4,215.50,207.77
04918,40455,25000,47684,4148.6,4261.6,220.66,212.56
02221,57072,20792,44561,4249.4,4286.6,221.28,212.44
13339,02008,26661,08002,4084.8,4159.1,220.34,212.08
02026,12630,49694,05809,4141.2,4142.7,218.76,210.85
59659,25116,35207,33150,3997.3,4111.3,217.76,209.66
40457,49688,10658,55624,4048.7,4104.4,222.14,213.68
02490,24077,03262,15920,4218.2,4250.2,221.03,213.09
31506,27661,26848,54913,4142.2,4257.0,221.31,213.39
01755,49319,19618,39704,4255.3,4269.1,221.42,213.07
