confDC0 [-],confDC1 [-],confVDL0 [-],confVDL1 [-],perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps]
02489,51463,10626,09442,3782.2,3842.8,224.90,215.88
04538,17173,01306,06283,3780.7,3835.7,225.02,215.77
36336,59600,16918,12394,3783.1,3841.0,225.50,216.37
28425,12589,20804,03274,3779.2,3838.5,224.51,215.19
64912,32909,26626,16630,3770.3,3836.5,249.50,240.25
03465,05407,04321,33018,3786.9,3845.9,249.90,240.38
02699,01007,04321,33014,3782.7,3837.4,249.95,241.14
01469,55561,53296,06342,3778.1,3840.4,225.06,215.80
64912,32416,19588,03297,3772.7,3842.6,225.61,216.23
08745,08595,03091,06187,3780.7,3842.6,225.65,216.52
01767,61527,42128,10279,3778.9,3835.4,225.59,216.01
02699,09345,04745,06222,3787.8,3845.3,225.25,215.75
02668,02399,42128,09291,3786.4,3840.6,225.47,216.48
02250,01679,04646,09411,3788.8,3840.9,225.69,216.11
44038,37457,28801,09231,3781.3,3839.5,225.97,216.63
20850,02296,20866,06346,3783.1,3843.0,224.94,215.28
03465,40453,01306,31746,3786.6,3845.7,224.94,215.86
31751,12627,25232,10342,3783.2,3845.3,224.98,215.50
01469,27632,34208,03150,3777.8,3833.3,224.39,215.55
03420,33301,43088,09294,3782.0,3839.3,225.08,215.77
59856,12866,01681,06219,3779.8,3845.4,224.79,215.61
08745,20788,03520,48256,3779.3,3840.4,224.86,216.36
