confDC0 [-],confDC1 [-],confVDL0 [-],confVDL1 [-],perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps]
20929,05666,05888,17792,3781.1,3839.3,235.08,225.93
01207,22976,04258,01824,3778.7,3836.2,231.11,221.49
05297,28904,02121,33300,3780.8,3844.5,227.32,218.62
02547,11788,00540,00663,3773.5,3839.3,227.24,217.82
02619,27921,00600,01251,3772.4,3836.9,228.16,219.00
00924,01508,00612,01203,3781.9,3846.5,228.38,219.02
02547,32932,04233,50180,3773.4,3840.1,229.10,220.26
43780,31492,08242,18466,3779.2,3840.8,229.03,220.03
14369,62984,00330,08295,3774.5,3836.2,229.92,221.37
08531,41250,00523,08302,3775.0,3838.7,230.31,221.16
62732,60930,17024,00311,3774.2,3834.4,230.52,221.07
37145,01893,17024,04187,3786.2,3842.9,230.47,221.15
08501,03219,16768,36904,3786.4,3844.7,230.41,221.12
16112,31872,18433,02275,3758.9,3829.5,230.04,220.90
12046,19208,08385,01542,3791.8,3850.5,226.36,217.81
01432,61186,00645,00621,3774.7,3840.7,226.68,218.16
02124,24068,08205,33376,3780.5,3841.5,227.13,218.10
24698,37665,08220,33840,3766.1,3836.7,227.20,217.95
08739,12824,02130,17442,3780.6,3837.7,227.74,218.17
02633,12581,00402,33001,3777.4,3842.4,227.98,218.64
05922,01415,01128,32862,3790.2,3845.8,225.15,216.55
02392,20670,08325,32875,3792.7,3857.7,226.49,217.14
06481,09777,32930,00754,3785.3,3840.7,226.11,216.98
04647,20771,00449,32919,3787.0,3843.7,226.48,217.46
58636,01732,02242,32956,3783.9,3839.2,227.47,218.65
03157,02377,00389,32979,3780.6,3839.8,226.79,217.71
03887,30475,08368,32889,3767.2,3831.6,227.20,217.70
01613,36938,32806,00711,3765.3,3831.5,226.99,217.86
01972,46349,02181,00559,3763.6,3829.8,225.75,216.97
11026,03443,02185,00571,3779.3,3836.1,226.64,217.11
05148,15622,02224,32847,3777.5,3835.5,226.53,217.27
23046,41108,02117,00686,3771.4,3835.1,226.61,217.12
43780,01224,02117,00726,3780.8,3839.9,226.62,217.24
00983,52848,32872,00679,3769.5,3834.8,226.40,217.16
59776,35601,01050,00636,3762.9,3832.9,225.67,217.34
01014,02452,16419,00351,3778.5,3840.9,224.99,215.88
57390,28048,01121,00574,3770.1,3830.4,225.39,216.42
33825,12929,08340,33826,3770.3,3831.3,225.40,216.40
20929,61024,32962,32998,3780.7,3843.2,225.66,216.47
32885,22534,32906,32855,3786.0,3845.5,226.02,216.72
04649,00750,01124,08287,3788.5,3844.5,225.23,215.72
41031,04066,32824,33314,3792.6,3846.0,225.66,216.23
24670,20686,32787,00463,3781.3,3851.6,225.88,216.76
01207,02888,32787,08381,3777.0,3836.7,225.87,216.84
19209,01178,32809,08429,3781.1,3837.0,226.40,217.68
01133,18442,08220,00475,3773.4,3833.1,226.70,217.91
06977,32901,32817,08442,3775.2,3831.1,225.39,216.63
01640,01878,32805,32883,3770.3,3840.8,225.61,217.31
01748,54539,01050,00567,3771.4,3832.1,225.99,217.54
57390,33153,00404,08411,3770.3,3830.4,226.24,217.56
40064,45127,02129,00415,3763.0,3828.8,226.42,217.38
02633,36952,32796,02207,3777.6,3843.1,224.52,215.95
02633,05313,01073,00446,3779.4,3843.3,225.17,216.34
03188,04412,32902,32823,3789.9,3846.9,225.04,216.85
01853,02375,32899,08399,3788.5,3850.2,225.61,217.42
