confDC0 [-],confDC1 [-],confVDL0 [-],confVDL1 [-],perDC0 [ps],perDC1 [ps],perVDL0 [ps],perVDL1 [ps]
32982,46784,03488,03235,3927.5,3993.1,224.83,215.94
03206,46859,03488,06339,3924.4,3989.7,224.92,216.36
03150,42510,20872,10298,3927.8,3991.7,224.56,215.65
51209,34827,20866,03241,3916.0,3990.4,224.84,216.16
51209,63152,03079,12514,3917.1,3985.1,225.25,216.03
15886,43216,01586,31808,3926.0,3985.9,224.43,216.02
45473,08520,33425,09442,3924.2,3989.3,224.85,215.83
37003,19468,13360,12430,3928.9,3991.6,224.87,216.47
03060,01942,12624,06222,3932.7,3990.1,224.76,215.75
03915,05345,50320,15880,3930.2,3994.4,224.96,215.76
01705,55952,02636,03180,3924.6,3988.0,225.02,215.98
03150,28906,33473,09414,3926.8,3989.0,225.28,216.02
22561,04490,10532,31746,3933.3,3992.3,224.55,215.64
03060,01212,33817,10444,3935.0,3992.5,224.44,215.22
03162,64128,06496,10342,3919.3,3976.5,224.62,216.04
08506,24496,06496,10403,3931.5,3989.2,224.49,215.29
32656,02454,00866,06370,3924.8,3987.6,224.71,215.64
02710,33810,10912,12490,3918.5,3985.6,224.84,216.09
03477,62928,05536,03087,3930.7,3988.7,224.98,215.99
03673,54795,25730,03162,3921.6,3984.9,225.22,215.96
01005,64017,04705,10285,3921.5,3982.9,225.47,216.47
02264,39430,41664,06250,3927.2,3987.7,224.34,215.43
16707,33052,25620,10394,3930.6,3984.7,224.32,215.42
02695,15884,33038,10409,3924.5,3994.0,224.78,215.64
51209,55050,33050,03267,3918.1,3986.2,224.88,215.65
01260,33051,12592,09386,3925.1,3983.8,224.79,216.28
38924,04549,04650,16000,3933.9,3994.9,224.65,215.73
51209,57445,12592,48136,3920.5,3984.9,224.77,215.82
02712,27344,12592,09355,3927.0,3989.3,224.69,215.75
63168,61514,35984,06346,3915.5,3978.1,224.57,215.73
02264,14625,28678,09418,3935.6,3991.2,224.56,215.49
02936,02395,01151,03304,3928.6,3981.1,224.91,215.64
05405,41038,09604,10381,3926.7,3985.3,224.93,216.26
03150,38624,33865,10450,3930.9,3990.1,224.95,216.38
02005,32529,50320,03273,3934.2,3992.8,225.03,215.79
10049,01883,42032,15624,3941.1,3990.8,224.09,214.81
04802,38864,16917,10345,3928.9,3988.3,224.83,216.28
